Combination	Bliss_interaction_score	p_adjusted	Strain	Type	Screen
Amoxicillin_Fluorouracil	-0.136761135064833	0.0511448855114488	S. aureus DSM 20231	neutral	non_antibiotic_screen
Acetylsalicylicacid_Fluorouracil	0.101204632998381	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Auranofin_Fluorouracil	-0.180291839648107	0.146625577682472	S. aureus DSM 20231	neutral	non_antibiotic_screen
Azithromycin_Fluorouracil	-0.148086174543339	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Bacitracin_Fluorouracil	-0.0544095327211301	0.964088912209697	S. aureus DSM 20231	neutral	non_antibiotic_screen
Benzalkonium_Fluorouracil	0.146009514864416	0.0642481206424812	S. aureus DSM 20231	neutral	non_antibiotic_screen
CCCP_Fluorouracil	0.0627093347662935	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Chloramphenicol_Fluorouracil	0.137316895197113	0.151719739268677	S. aureus DSM 20231	neutral	non_antibiotic_screen
Ciprofloxacin_Fluorouracil	0.0761787634485962	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clavulanic_Fluorouracil	0.0768283821952986	0.957539349991098	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clindamycin_Fluorouracil	0.0512281599980823	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clarithromycin_Fluorouracil	0.125676764607186	0.759117494843921	S. aureus DSM 20231	neutral	non_antibiotic_screen
Clortetracycline_Fluorouracil	-0.117040047517044	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefotaxime_Fluorouracil	-0.114271021473531	0.029173553232912	S. aureus DSM 20231	synergy	non_antibiotic_screen
Cefuroxime_Fluorouracil	0.0482181482914915	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Daptomycin_Fluorouracil	0.0908676607174184	0.746635156677969	S. aureus DSM 20231	neutral	non_antibiotic_screen
CycloserineD_Fluorouracil	0.0756318799834886	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Doxycycline_Fluorouracil	-0.0978669019606331	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Doxorubicin_Fluorouracil	0.0402920353846097	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
EGCG_Fluorouracil	-0.0895348165988749	0.233996208222315	S. aureus DSM 20231	neutral	non_antibiotic_screen
Erythromycin_Fluorouracil	0.070780154630927	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cefepime_Fluorouracil	-0.0588516752284747	0.651825780384926	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Fosfomycin	0.050229892643413	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Fusidic acid	0.0809450469956205	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Gentamicin	-0.166591403517126	0.228320871616542	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Imipenem	0.0555196460457434	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Fluorouracil_Levofloxacin	0.053237981178574	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
Cephalexin_Fluorouracil	-0.0697302581445342	1	S. aureus DSM 20231	neutral	non_antibiotic_screen
