Drug A,Drug B,organism ,value,type,method,PMID
Amikacin,Levofloxacin,Acinetobacter,5,Antagonism,FICI,28207768
Amikacin,Levofloxacin,Citrobacter,4,Indifferent,FICI,28207768
Amikacin,Levofloxacin,Escherichia coli,2.13,Indifferent,FICI,28207768
Amikacin,Chloramphenicol,Escherichia coli ATCC10798,2.8,Antagonism,,31405069
Amikacin,Spectinomycin,Escherichia coli ATCC10798,2.12,Antagonism,,31405069
Amikacin,Roxithromycin,Escherichia coli ATCC10798,1.52,Antagonism,,31405069
Amikacin,Rifampicin,Escherichia coli ATCC10798,1.34,Antagonism,,31405069
Amikacin,Erythromycin,Escherichia coli ATCC10798,1.34,Antagonism,,31405069
Amikacin,Tobramycin,Escherichia coli ATCC10798,0.89,Additivity,,31405069
Amikacin,Nalidixic Acid,Escherichia coli ATCC10798,0.87,Additivity,,31405069
Amikacin,Tetracycline,Escherichia coli ATCC10798,0.68,Additivity,,31405069
Amikacin,Gentamicin,Escherichia coli ATCC10798,0.65,Additivity,,31405069
Amikacin,Levofloxacin,Escherichia coli ATCC10798,0.55,Additivity,,31405069
Amikacin,Mupirocin,Escherichia coli ATCC10798,0.05,Additivity,,31405069
Amikacin,Ciprofloxacin,Escherichia coli ATCC10798,-0.03,Additivity,,31405069
Amikacin,Trimethoprim,Escherichia coli ATCC10798,-0.35,Synergy,,31405069
Amikacin,Clarithromycin,Escherichia coli ATCC10798,-0.45,Synergy,,31405069
Amikacin,Fusidic Acid,Escherichia coli ATCC10798,-0.67,Synergy,,31405069
Amikacin,Puromycin,Escherichia coli BW25113,-0.42,Synergy,Bliss,29973719
Amikacin,Trimethoprim,Escherichia coli BW25113,0.09,Additivity,Bliss,29973719
Amikacin,Cefotaxime,Escherichia coli BW25113,-0.08,Additivity,Bliss,29973719
Amikacin,Levofloxacin,Escherichia coli BW25113,-0.04,Additivity,Bliss,29973719
Amikacin,Piperacillin,Escherichia coli BW25113,-0.09,Additivity,Bliss,29973719
Amikacin,Clindamycin,Escherichia coli BW25113,0.35,Antagonism,Bliss,29973719
Amikacin,Spiramycin,Escherichia coli BW25113,0.19,Antagonism,Bliss,29973719
Amikacin,Rifampicin,Escherichia coli BW25113,0.26,Antagonism,Bliss,29973719
Amikacin,Azithromycin,Escherichia coli BW25113,0.2,Antagonism,Bliss,29973719
Amikacin,Erythromycin,Escherichia coli BW25113,0.2,Antagonism,Bliss,29973719
Amikacin,Clarithromycin,Escherichia coli BW25113,0.19,Antagonism,Bliss,29973719
Amikacin,Nitrofurantoin,Escherichia coli BW25113,-0.21,Synergy,Bliss,29973719
Amikacin,Pyocyanin,Escherichia coli BW25113,0.33,Antagonism,Bliss,29973719
Amikacin,Gentamicin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Amikacin,Kanamycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Amikacin,Tobramycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Amikacin,Streptomycin,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Amikacin,Tetracycline,Escherichia coli BW25113,nan,Additivity,Loewe,24867991
Amikacin,Doxycycline,Escherichia coli BW25113,nan,Synergy,Loewe,24867991
Amikacin,Chloramphenicol,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Amikacin,Erythromycin,Escherichia coli BW25113,nan,Antagonism,Loewe,24867991
Amikacin,Fusidic Acid,Escherichia coli BW25113,nan,Synergy,Loewe,24867991
Amikacin,Sulfamonomethoxine,Escherichia coli BW25113,nan,Synergy,Loewe,24867991
Amikacin,Trimethoprim,Escherichia coli BW25113,nan,Synergy,Loewe,24867991
Amikacin,Trimethoprim,Escherichia coli iAi1,-0.13,Synergy,Bliss,29973719
Amikacin,Cefotaxime,Escherichia coli iAi1,-0.11,Synergy,Bliss,29973719
Amikacin,Puromycin,Escherichia coli iAi1,-0.26,Synergy,Bliss,29973719
Amikacin,Levofloxacin,Escherichia coli iAi1,-0.17,Synergy,Bliss,29973719
Amikacin,Piperacillin,Escherichia coli iAi1,-0.13,Synergy,Bliss,29973719
Amikacin,Clindamycin,Escherichia coli iAi1,-0.06,Additivity,Bliss,29973719
Amikacin,Spiramycin,Escherichia coli iAi1,-0.05,Additivity,Bliss,29973719
Amikacin,Rifampicin,Escherichia coli iAi1,-0.07,Additivity,Bliss,29973719
