Drug 1,Drug 2,E. coli BW25113,E. coli iAi1,ST LT2,ST 14028,PAO1,PA14,p-value E. coli BW25113,p-value E. coli iAi1,p-value ST LT2,p-value ST 14028,p-value PAO1,p-value PA14,interaction E. coli BW25113,interaction E. coli iAi1,interaction ST LT2,interaction ST14028,interaction PAO1,interaction PA14
Amoxicillin,Oxacillin,-0.548378101,-0.65122561,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Amoxicillin,Cefsulodin,-0.45770367,-0.510561259,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Amoxicillin,Trimethoprim,-0.168981691,0.092046379,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Amoxicillin,Acetylsalisylic acid,-0.226499889,0.084216996,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Chloramphenicol,Fusidic acid,-0.160244394,-0.327036317,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Chloramphenicol,Rifampicin,-0.352005011,0.111296324,NA,NA,NA,NA,0.002956627,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Ciprofloxacin,Bacitracin,-0.277610647,-0.087093446,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Doxycycline,Tobramycin,-0.216083936,-0.176066074,NA,NA,NA,NA,0.002956627,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Doxycycline,Clarithromycin,-0.261431202,-0.383328609,NA,NA,NA,NA,0.001666307,0.001813026,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Oxacillin,Cefaclor,-0.689564724,-0.706100306,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Oxacillin,Mecillinam,-0.133233318,-0.122478915,NA,NA,NA,NA,0.035085636,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Bacitracin,Cefaclor,-0.251452203,-0.030023809,NA,NA,NA,NA,0.002956627,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Bacitracin,Cefsulodin,-0.142595497,-0.053782934,NA,NA,NA,NA,0.036620768,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Bacitracin,A22,-0.181177958,-0.087788227,NA,NA,NA,NA,0.006321736,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Bacitracin,Mitomycin C,-0.172133927,-0.106260884,NA,NA,NA,NA,0.047029134,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Bacitracin,Meropenem,-0.268038697,-0.107074697,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Polymyxin B,Clindamycin,-0.303740845,-0.786486831,NA,NA,NA,NA,0.014413559,0.001463305,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA
Polymyxin B,Curcumin,-0.650933198,-0.624171734,NA,NA,NA,NA,0.030292903,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
Polymyxin B,Triclosan,-0.763858619,-0.380144414,NA,NA,NA,NA,0.034363451,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA
