Drug A,Drug B,Strain,Bliss Score,p-value,Interaction Type,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
amoxicillin,oxacillin,escherichia coli bw25113,-0.5484,0.001666307,Synergy,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,UWYHMGVUTGAWSP-JKIFEVAISA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'UWYHMGVUTGAWSP-JKIFEVAISA-N')"
amoxicillin,cefsulodin,escherichia coli bw25113,-0.4577,0.001666307,Synergy,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,SYLKGLMBLAAGSC-QLVMHMETSA-N,escherichia coli,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
amoxicillin,trimethoprim,escherichia coli bw25113,-0.169,0.001666307,Synergy,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
amoxicillin,acetylsalisylic acid,escherichia coli bw25113,-0.2265,0.001666307,Synergy,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,escherichia coli,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
chloramphenicol,fusidic acid,escherichia coli bw25113,-0.1602,0.001666307,Synergy,WIIZWVCIJKGZOK-RKDXNWHRSA-N,IECPWNUMDGFDKC-MZJAQBGESA-N,escherichia coli,"('IECPWNUMDGFDKC-MZJAQBGESA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
chloramphenicol,rifampicin,escherichia coli bw25113,-0.352,0.002956627,Synergy,WIIZWVCIJKGZOK-RKDXNWHRSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
ciprofloxacin,bacitracin,escherichia coli bw25113,-0.2776,0.001666307,Synergy,MYSWGUAQZAJSOK-UHFFFAOYSA-N,CLKOFPXJLQSYAH-ABRJDSQDSA-N,escherichia coli,"('CLKOFPXJLQSYAH-ABRJDSQDSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
oxacillin,cefaclor,escherichia coli bw25113,-0.6896,0.001666307,Synergy,UWYHMGVUTGAWSP-JKIFEVAISA-N,QYIYFLOTGYLRGG-GPCCPHFNSA-N,escherichia coli,"('QYIYFLOTGYLRGG-GPCCPHFNSA-N', 'UWYHMGVUTGAWSP-JKIFEVAISA-N')"
oxacillin,mecillinam,escherichia coli bw25113,-0.1332,0.035085636,Synergy,UWYHMGVUTGAWSP-JKIFEVAISA-N,BWWVAEOLVKTZFQ-NTZNESFSSA-N,escherichia coli,"('BWWVAEOLVKTZFQ-NTZNESFSSA-N', 'UWYHMGVUTGAWSP-JKIFEVAISA-N')"
bacitracin,cefaclor,escherichia coli bw25113,-0.2515,0.002956627,Synergy,CLKOFPXJLQSYAH-ABRJDSQDSA-N,QYIYFLOTGYLRGG-GPCCPHFNSA-N,escherichia coli,"('CLKOFPXJLQSYAH-ABRJDSQDSA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
bacitracin,cefsulodin,escherichia coli bw25113,-0.1426,0.036620768,Synergy,CLKOFPXJLQSYAH-ABRJDSQDSA-N,SYLKGLMBLAAGSC-QLVMHMETSA-N,escherichia coli,"('CLKOFPXJLQSYAH-ABRJDSQDSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
