Drug A,Drug B,Strain,Bliss Score,p-value,Interaction Type,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
cefotaxime,fluorouracil,staphylococcus aureus dsm 20231,-0.1143,0.029173553232912,synergy,GPRBEKHLDVQUJE-QSWIMTSFSA-N,GHASVSINZRGABV-UHFFFAOYSA-N,staphylococcus aureus,"('GHASVSINZRGABV-UHFFFAOYSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')"
fluorouracil,nitrofurantoin,staphylococcus aureus dsm 20231,-0.2047,0.0047029779780642,synergy,GHASVSINZRGABV-UHFFFAOYSA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,staphylococcus aureus,"('GHASVSINZRGABV-UHFFFAOYSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
fluorouracil,streptomycin,staphylococcus aureus dsm 20231,-0.1847,0.0026742423796836,synergy,GHASVSINZRGABV-UHFFFAOYSA-N,UCSJYZPVAKXKNQ-HZYVHMACSA-N,staphylococcus aureus,"('GHASVSINZRGABV-UHFFFAOYSA-N', 'UCSJYZPVAKXKNQ-HZYVHMACSA-N')"
amoxicillin,celecoxib,staphylococcus aureus dsm 20231,0.1811,0.0026742423796836,antagonism,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,RZEKVGVHFLEQIL-UHFFFAOYSA-N,staphylococcus aureus,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'RZEKVGVHFLEQIL-UHFFFAOYSA-N')"
amoxicillin,clomiphene,staphylococcus aureus dsm 20231,-0.2366,0.0064434501431746,synergy,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,GKIRPKYJQBWNGO-UHFFFAOYSA-N,staphylococcus aureus,"('GKIRPKYJQBWNGO-UHFFFAOYSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
amoxicillin,diflunisal,staphylococcus aureus dsm 20231,0.2031,0.0172640963751726,antagonism,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,HUPFGZXOMWLGNK-UHFFFAOYSA-N,staphylococcus aureus,"('HUPFGZXOMWLGNK-UHFFFAOYSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
amoxicillin,diacerein,staphylococcus aureus dsm 20231,-0.1919,0.0129891772727489,synergy,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,TYNLGDBUJLVSMA-UHFFFAOYSA-N,staphylococcus aureus,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'TYNLGDBUJLVSMA-UHFFFAOYSA-N')"
amoxicillin,tamoxifene,staphylococcus aureus dsm 20231,-0.15,0.0026742423796836,synergy,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,NKANXQFJJICGDU-QPLCGJKRSA-N,staphylococcus aureus,"('LSQZJLSUYDQPKJ-NJBDSQKTSA-N', 'NKANXQFJJICGDU-QPLCGJKRSA-N')"
acetylsalicylic acid,benzbromarone,staphylococcus aureus dsm 20231,-0.3095,0.0253395425484774,neutral,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,WHQCHUCQKNIQEC-UHFFFAOYSA-N,staphylococcus aureus,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'WHQCHUCQKNIQEC-UHFFFAOYSA-N')"
acetylsalicylic acid,estradiol,staphylococcus aureus dsm 20231,0.1583,0.0347924391234346,antagonism,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,VOXZDWNPVJITMN-ZBRFXRBCSA-N,staphylococcus aureus,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'VOXZDWNPVJITMN-ZBRFXRBCSA-N')"
acetylsalicylic acid,hexestrol,staphylococcus aureus dsm 20231,-0.4542,0.0047029779780642,synergy,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,PBBGSZCBWVPOOL-HDICACEKSA-N,staphylococcus aureus,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'PBBGSZCBWVPOOL-HDICACEKSA-N')"
acetylsalicylic acid,ibuprofen,staphylococcus aureus dsm 20231,-0.2752,0.0026742423796836,synergy,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,HEFNNWSXXWATRW-UHFFFAOYSA-N,staphylococcus aureus,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'HEFNNWSXXWATRW-UHFFFAOYSA-N')"
acetylsalicylic acid,methotrexate,staphylococcus aureus dsm 20231,-0.4101,0.0144515349789524,synergy,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,FBOZXECLQNJBKD-ZDUSSCGKSA-N,staphylococcus aureus,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'FBOZXECLQNJBKD-ZDUSSCGKSA-N')"
acetylsalicylic acid,tolfenamic,staphylococcus aureus dsm 20231,-0.2635,0.0452466601681064,synergy,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,YEZNLOUZAIOMLT-UHFFFAOYSA-N,staphylococcus aureus,"('BSYNRYMUTXBXSQ-UHFFFAOYSA-N', 'YEZNLOUZAIOMLT-UHFFFAOYSA-N')"
auranofin,diacerein,staphylococcus aureus dsm 20231,-0.4611,0.0172640963751726,synergy,AUJRCFUBUPVWSZ-XTZHGVARSA-M,TYNLGDBUJLVSMA-UHFFFAOYSA-N,staphylococcus aureus,"('AUJRCFUBUPVWSZ-XTZHGVARSA-M', 'TYNLGDBUJLVSMA-UHFFFAOYSA-N')"
azithromycin,diflunisal,staphylococcus aureus dsm 20231,-0.1465,0.041654947805712,synergy,MQTOSJVFKKJCRP-BICOPXKESA-N,HUPFGZXOMWLGNK-UHFFFAOYSA-N,staphylococcus aureus,"('HUPFGZXOMWLGNK-UHFFFAOYSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
azithromycin,loxapine,staphylococcus aureus dsm 20231,-0.1464,0.0314188476440314,synergy,MQTOSJVFKKJCRP-BICOPXKESA-N,XJGVXQDUIWGIRW-UHFFFAOYSA-N,staphylococcus aureus,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'XJGVXQDUIWGIRW-UHFFFAOYSA-N')"
azithromycin,tolfenamic,staphylococcus aureus dsm 20231,-0.294,0.0026742423796836,synergy,MQTOSJVFKKJCRP-BICOPXKESA-N,YEZNLOUZAIOMLT-UHFFFAOYSA-N,staphylococcus aureus,"('MQTOSJVFKKJCRP-BICOPXKESA-N', 'YEZNLOUZAIOMLT-UHFFFAOYSA-N')"
