Drug A,Drug B,Strain,Score,Interaction Type,Method,PMID,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
amikacin,levofloxacin,acinetobacter,5,Antagonism,FICI,28207768,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,citrobacter,4,Indifferent,FICI,28207768,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,escherichia coli,2.13,Indifferent,FICI,28207768,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,klebsiella pneumoniae,8,Antagonism,FICI,28207768,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,multidrug-resistant acinetobacter baumannii,1.1,Indifference,FICI,29872329,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,multidrug-resistant enterobacter cloacae,1.3,Indifference,FICI,29872329,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,multidrug-resistant escherichia coli,2.75,Indifference,FICI,29872329,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,multidrug-resistant klebsiella ornithinolytica,1.1,Indifference,FICI,29872329,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,multidrug-resistant klebsiella oxytoca,2,Indifference,FICI,29872329,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,multidrug-resistant klebsiella pneumoniae,1,Additivity,FICI,29872329,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,multidrug-resistant pseudomonas aeruginosa,0.6,Additivity,FICI,29872329,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,mycobacterium fortuitum atcc35752,1.01,Indifferent,FICI,28662943,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
