Drug A,Drug B,Strain,Bliss Score,Interaction Type,Method,PMID,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
amikacin,puromycin,escherichia coli bw25113,-0.42,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
amikacin,trimethoprim,escherichia coli bw25113,0.09,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,escherichia coli,"('IEDVJHCEMCRBQM-UHFFFAOYSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,cefotaxime,escherichia coli bw25113,-0.08,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GPRBEKHLDVQUJE-QSWIMTSFSA-N,escherichia coli,"('GPRBEKHLDVQUJE-QSWIMTSFSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,levofloxacin,escherichia coli bw25113,-0.04,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,escherichia coli,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,piperacillin,escherichia coli bw25113,-0.09,Additivity,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,IVBHGBMCVLDMKU-GXNBUGAJSA-N,escherichia coli,"('IVBHGBMCVLDMKU-GXNBUGAJSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,clindamycin,escherichia coli bw25113,0.35,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,KDLRVYVGXIQJDK-AWPVFWJPSA-N,escherichia coli,"('KDLRVYVGXIQJDK-AWPVFWJPSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,spiramycin,escherichia coli bw25113,0.19,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,escherichia coli,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,rifampicin,escherichia coli bw25113,0.26,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,escherichia coli,"('JQXXHWHPUNPDRT-WLSIYKJHSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,azithromycin,escherichia coli bw25113,0.2,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,MQTOSJVFKKJCRP-BICOPXKESA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
amikacin,erythromycin,escherichia coli bw25113,0.2,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
amikacin,clarithromycin,escherichia coli bw25113,0.19,Antagonism,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,escherichia coli,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,nitrofurantoin,escherichia coli bw25113,-0.21,Synergy,Bliss,29973719,LKCWBDHBTVXHDL-RMDFUYIESA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,escherichia coli,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
