compound,inchikey
a22,LZTCFLDZLBOLDW-UHFFFAOYSA-N
acetylsalicylic acid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N
amikacin,LKCWBDHBTVXHDL-RMDFUYIESA-N
amoxicillin,LSQZJLSUYDQPKJ-NJBDSQKTSA-N
auranofin,AUJRCFUBUPVWSZ-XTZHGVARSA-M
azithromycin,MQTOSJVFKKJCRP-BICOPXKESA-N
aztreonam,WZPBZJONDBGPKJ-VEHQQRBSSA-N
bacitracin,CLKOFPXJLQSYAH-ABRJDSQDSA-N
benzalkonium,VVZBFOKBSDGVGZ-UHFFFAOYSA-N
benzbromarone,WHQCHUCQKNIQEC-UHFFFAOYSA-N
berberine,YBHILYKTIRIUTE-UHFFFAOYSA-N
bleomycin,OYVAGSVQBOHSSS-WXFSZRTFSA-O
caffeine,RYYVLZVUVIJVGH-UHFFFAOYSA-N
cccp,UGTJLJZQQFGTJD-UHFFFAOYSA-N
cefaclor,QYIYFLOTGYLRGG-GPCCPHFNSA-N
cefepime,HVFLCNVBZFFHBT-ZKDACBOMSA-N
cefotaxime,GPRBEKHLDVQUJE-QSWIMTSFSA-N
cefsulodin,SYLKGLMBLAAGSC-QLVMHMETSA-N
cefuroxime,JFPVXVDWJQMJEE-IZRZKJBUSA-N
celecoxib,RZEKVGVHFLEQIL-UHFFFAOYSA-N
cephalexin,ZAIPMKNFIOOWCQ-UEKVPHQBSA-N
chir-90,FQYBTYFKOHPWQT-VGSWGCGISA-N
chloramphenicol,WIIZWVCIJKGZOK-RKDXNWHRSA-N
chlorhexidine,GHXZTYHSJHQHIJ-UHFFFAOYSA-N
chlorpromazine,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
ciclopirox,SCKYRAXSEDYPSA-UHFFFAOYSA-N
ciprofloxacin,MYSWGUAQZAJSOK-UHFFFAOYSA-N
clarithromycin,AGOYDEPGAOXOCK-KCBOHYOISA-N
clindamycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N
clofazimine,WDQPAMHFFCXSNU-UHFFFAOYSA-N
clomiphene,GKIRPKYJQBWNGO-UHFFFAOYSA-N
colistin,YKQOSKADJPQZHB-RGYSVOEGSA-N
curcumin,VFLDPWHFBUODDF-FCXRPNKRSA-N
cycloserine d,DYDCUQKUCUHJBH-UWTATZPHSA-N
daptomycin,DOAKLVKFURWEDJ-QCMAZARJSA-N
diacerein,TYNLGDBUJLVSMA-UHFFFAOYSA-N
diclofenac,DCOPUUMXTXDBNB-UHFFFAOYSA-N
diflunisal,HUPFGZXOMWLGNK-UHFFFAOYSA-N
doxorubicin,AOJJSUZBOXZQNB-TZSSRYMLSA-N
egcg,WMBWREPUVVBILR-WIYYLYMNSA-N
erythromycin,ULGZDMOVFRHVEP-RWJQBGPGSA-N
estradiol,VOXZDWNPVJITMN-ZBRFXRBCSA-N
fluorouracil,GHASVSINZRGABV-UHFFFAOYSA-N
fosfomycin,YMDXZJFXQJVXBF-STHAYSLISA-N
fusidic acid,IECPWNUMDGFDKC-MZJAQBGESA-N
gefitinib,XGALLCVXEZPNRQ-UHFFFAOYSA-N
gentamicin,CEAZRRDELHUEMR-UHFFFAOYSA-N
hexestrol,PBBGSZCBWVPOOL-HDICACEKSA-N
ibuprofen,HEFNNWSXXWATRW-UHFFFAOYSA-N
imipenem,ZSKVGTPCRGIANV-ZXFLCMHBSA-N
levofloxacin,GSDSWSVVBLHKDQ-JTQLQIEISA-N
lincomycin,OJMMVQQUTAEWLP-KIDUDLJLSA-N
linezolid,TYZROVQLWOKYKF-ZDUSSCGKSA-N
loxapine,XJGVXQDUIWGIRW-UHFFFAOYSA-N
mecillinam,BWWVAEOLVKTZFQ-NTZNESFSSA-N
meropenem,DMJNNHOOLUXYBV-PQTSNVLCSA-N
