Drug A,Drug B,Drug A Inchikey,Drug B Inchikey,Drug Pair
spiramycin,clarithromycin,ACTOXUHEUCPTEW-CEUOBAOPSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'AGOYDEPGAOXOCK-KCBOHYOISA-N')"
spiramycin,chir-90,ACTOXUHEUCPTEW-CEUOBAOPSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'FQYBTYFKOHPWQT-VGSWGCGISA-N')"
amikacin,spiramycin,LKCWBDHBTVXHDL-RMDFUYIESA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
ciprofloxacin,spiramycin,MYSWGUAQZAJSOK-UHFFFAOYSA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
spiramycin,tobramycin,ACTOXUHEUCPTEW-CEUOBAOPSA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
cefaclor,spiramycin,QYIYFLOTGYLRGG-GPCCPHFNSA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
spiramycin,metformin,ACTOXUHEUCPTEW-CEUOBAOPSA-N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'XZWYZXLIPXDOLR-UHFFFAOYSA-N')"
spiramycin,colistin,ACTOXUHEUCPTEW-CEUOBAOPSA-N,YKQOSKADJPQZHB-RGYSVOEGSA-N,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'YKQOSKADJPQZHB-RGYSVOEGSA-N')"
fosfomycin,spiramycin,YMDXZJFXQJVXBF-STHAYSLISA-N,ACTOXUHEUCPTEW-CEUOBAOPSA-N,"('ACTOXUHEUCPTEW-CEUOBAOPSA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
clarithromycin,doxorubicin,AGOYDEPGAOXOCK-KCBOHYOISA-N,AOJJSUZBOXZQNB-TZSSRYMLSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'AOJJSUZBOXZQNB-TZSSRYMLSA-N')"
