drug,inchikey,level,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
a22,LZTCFLDZLBOLDW-UHFFFAOYSA-N,D3,-0.093408555,0.035380047,0.093412474,-0.093406387,-0.093412474,0.093412362,-0.040246796,0.093412243,0.093412474,0.088741891,-0.092803776,0.093412429,0.093412399,-0.093412474,0.093412422,0.093412474,0.088504769,0.093393125,0.09341231,0.072097011,-0.093395852,-0.088784471,-0.093412474,0.093360715,-0.093412474,-0.093389921,0.093412474,-0.063929826,0.093412474,-0.093412474,-0.093382031,-0.093410179,-0.093412474,-0.093345791,-0.093412474,-0.092488565,0.093412377,0.045887604,-0.087406583,0.074472062,0.0933709,-0.093412474,-0.093392283,0.093412437,-0.09329693,0.09341158,-0.083959609,-0.093412444,0.00402382,0.082698576,0.093407393,0.093412474,0.082504682,0.06802813,0.09126959,-0.093412474,-0.093412474,0.089995936,0.060918719,-0.093412474,0.093412474,-0.093352899,0.093412474,-0.093412474,0.086050481,-0.0921847,-0.093397558,-0.093406186,0.093412474,0.00409204,-0.093412258,0.042032219,-0.093403772,0.065549299,0.093238682,-0.093411781,-0.093412474,0.093412474,0.093412474,0.020532561,0.093410246,-0.045942407,0.09340743,-0.093412474,0.081988193,0.093140066,0.093401961,0.080405019,0.093412474,0.093401536,-0.093397722,-0.093412474,-0.083839498,0.093097664,-0.093403444,-0.093409024,-0.093412474,0.093412161,-0.093412474,0.084389701,0.093351327,0.037495557,-0.093387522,-0.093210615,-0.093412474,0.093395442,0.092737868,-0.093409762,0.091905326,0.093382776,-0.069844484,0.093412474,0.093412474,0.093397349,-0.093364127,-0.093412012,0.093409136,0.093412451,0.093320191,-0.093388543,0.093412474,-0.093409277,0.093283467,0.093412474,-0.093412004,0.093394287,0.093374617,-0.093412474
acetylsalicylicacid,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,D3,-0.098078668,0.09807951,-0.097870231,0.098081611,0.097993195,0.085447125,-0.098081611,0.098066092,0.090746067,-0.082971863,-0.063499652,0.054383341,-0.098080128,0.098076314,0.095330924,0.098081611,0.098037757,0.097777456,-0.073247269,0.097572625,-0.017514994,0.062931791,-0.091132767,0.052704919,0.098079212,-0.097886898,-0.056390572,-0.084064342,0.097891413,-0.096096881,-0.096455529,0.098079212,0.098081343,-0.017420245,0.04958909,-0.095273249,0.073452584,-0.091311574,-0.013488588,-0.098075733,-0.096198156,0.097061515,-0.097589403,-0.076820545,-0.077455491,0.082299225,0.097198009,-0.09786763,-0.059756428,0.085611381,0.098037437,-0.098076046,-0.083603673,0.098081328,-0.065455467,-0.091557868,0.097494185,0.098076738,0.021040972,-0.091554329,0.056025065,-0.097817779,0.091080859,0.097310498,0.040052097,0.098081611,0.098079287,0.098081559,-0.098081611,0.098081514,-0.090656534,-0.098081417,-0.097781472,0.094752021,0.098076783,-0.079909824,-0.097291559,-0.098017171,0.091682255,0.098081194,0.098010324,-0.09697751,-0.098081611,-0.093461052,0.098064281,-0.084596902,-0.097812824,-0.098068304,0.038342908,0.097866416,0.09786056,-0.098065935,-0.089311808,-0.098080009,-0.098058797,0.061325941,-0.097993933,-0.054123718,0.030392859,0.09757264,0.097990848,-0.098063059,0.098030806,-0.015796466,-0.09724725,0.088958085,-0.018537756,-0.097944006,0.095813237,-0.097965986,-0.097872518,-0.097106569,-0.09782815,-0.098062821,-0.09462177,0.098044932,-0.098081373,-0.097715244,-0.051298216,-0.047640961,-0.09782467,-0.098081261,-0.092821315,0.093957201,0.097666256,0.09705434,-0.047022033,0.097747304
amikacin,LKCWBDHBTVXHDL-RMDFUYIESA-N,D3,-0.103367426,0.090624966,-0.040638141,0.09856791,-0.104493469,-0.096172675,-0.083224975,0.083727144,0.067497917,0.10607475,0.056027729,-0.103946492,0.106144704,-0.103165597,0.082726255,-0.10477154,0.09226945,-0.044769105,0.106077559,-0.088352337,0.104085766,0.016064417,-0.104147539,-0.103454791,0.104779117,-0.010664245,-0.010483627,-0.057042237,-0.106225125,-0.045464668,0.029288391,-0.106215015,0.058141142,0.013523666,0.012799014,-0.106243677,-0.073250331,-0.063689038,-0.10457284,-0.105761997,-0.105704926,-0.078170024,-0.065416276,0.044353075,-0.015188927,-0.105108321,0.096841805,0.017642858,0.038367793,-0.105362721,0.093456402,0.105248712,-0.105964161,-0.100533903,-0.102208056,0.074777566,0.104722001,-0.046843413,0.106169671,0.088329419,-0.059600655,0.072215162,-0.10335616,0.106264219,-0.094904773,0.094600499,0.102363423,0.051595207,0.105945326,0.062567696,0.096944362,-0.063058816,-0.074261859,0.105134495,-0.002659042,0.09692914,0.075690098,-0.069955014,-0.106089808,0.078960873,0.105224125,-0.009712529,0.032907039,0.105404332,0.103045024,-0.106028646,0.106037572,0.065776259,-0.106220476,-0.103123799,-0.098674864,-0.105486467,0.105122462,-0.09055043,-0.094528966,0.017446993,-0.106070183,0.104250483,-0.013161916,0.051666472,0.070509322,0.106208958,0.102196224,0.106219992,-0.104439937,-0.103831738,0.104067802,0.095175207,-0.104876339,0.103982948,-0.105269313,-0.105364256,-0.033682495,0.103531875,-0.104389645,0.105903879,-0.086098954,-0.10560178,0.106164739,-0.060709331,-0.09890721,-0.102930024,-0.10567788,-0.106159717,-0.102891386,0.084575072,0.102056392,0.086411968
aminosalicylate sodium,GMUQJDAYXZXBOT-UHFFFAOYSA-M,D3,0.063700274,-0.038083356,-0.034630109,0.122848444,-0.010378017,0.053469785,-0.01236558,0.086690687,-0.094047241,-0.003245933,0.130516738,0.081466138,0.125405088,0.12645331,0.102953665,-0.061069537,-0.101040877,-0.054953471,0.025234362,-0.002248094,-0.042987671,0.073467314,-0.074489638,-0.038419448,0.029515643,0.049558945,0.022961902,0.115669169,-0.023984166,-0.009233059,-0.031988747,-0.10834983,0.138673753,0.04938896,-0.119150214,0.046041954,0.066455126,0.036585372,0.128775775,-0.076813288,0.013697475,-0.091955356,0.13280116,0.097136557,-0.063358605,0.110040344,0.11460264,0.069438934,-0.053967189,0.011355298,-0.104163222,-0.103739277,-0.126166955,0.102692872,-0.055832416,0.107744835,0.093449496,-0.127728671,-0.074960954,-0.11235401,0.061591726,0.015020866,0.136165231,0.127838925,-0.117437311,-0.03641038,0.105850138,-0.07861691,0.042456556,-0.081004173,-0.104616672,0.032279946,0.118856855,0.038923901,-0.112333238,0.110482082,0.132018417,-0.110900119,0.075640455,-0.043442391,-0.051875297,-0.139474168,-0.037737288,0.103134133,0.132509232,0.093007334,-0.067710146,-0.134392425,0.127754569,-0.131447703,0.018127808,0.120735519,-0.03498961,-0.094058409,-0.118224978,0.045530133,-0.076787829,-0.126769409,-0.025593527,-0.132113546,0.123648442,-0.104964741,-0.01386249,-0.090205111,0.121454887,-0.071014717,0.07593967,-0.115305312,0.110172875,0.130854636,0.059186846,-0.072141834,-0.045547217,0.097219065,-0.129994303,-0.02974789,-0.114150248,-0.119555742,-0.080860958,0.12710394,-0.039743789,0.035490517,-0.052364927,-0.013143562,-0.001763535,-0.089212045,-0.082233422,0.080343693
aminosalicylic acid,WUBBRNOQWQTFEX-UHFFFAOYSA-N,D3,0.093331486,0.093331486,-0.027354574,0.093331486,0.09333133,0.093313664,-0.093016416,-0.093331486,-0.093211323,0.093328044,0.093331456,-0.09191829,0.093331441,0.093331486,-0.067637347,0.093331486,0.00046182,-0.067049354,0.091329917,-0.093290612,-0.062968984,-0.093331486,-0.093313113,0.09332785,0.050206579,0.068638399,0.093331486,0.093331486,-0.092234857,-0.084145069,-0.058978021,0.093330376,0.092072599,-0.090738297,-0.093331486,0.093331486,-0.093330175,0.093331486,0.093331486,0.091706574,0.093331486,0.093331486,0.093331441,-0.088731878,0.09328258,0.092826918,0.093331486,-0.093331486,-0.093321376,0.09204983,-0.093330577,-0.093331486,-0.093331486,-0.093331181,-0.093317769,-0.076237433,0.093250528,0.093290582,-0.093331248,-0.093331486,-0.093180627,0.089039169,0.093249172,-0.044745665,-0.093327776,-0.081922874,0.093331434,-0.093330398,-0.093331486,0.093329787,-0.093329333,-0.085834898,0.093330629,0.092038281,-0.093331486,0.09206149,0.093315668,-0.092758991,0.085214734,0.093331411,0.091221012,-0.093331486,-0.084419973,-0.093331486,0.090916514,0.093243361,-0.037781958,-0.093331486,-0.036026195,-0.093323536,0.093331486,0.093331486,-0.093331389,0.086608827,0.088535011,-0.093273416,-0.093242049,-0.093331486,0.091538444,-0.093330085,0.06710083,-0.093328223,-0.093331486,-0.093331486,0.093331486,-0.088687785,0.09249156,-0.093331486,-0.075033307,0.09295769,0.068881035,-0.093331486,-0.093331486,-0.093319789,0.093330838,0.093285099,-0.090472631,-0.093331046,-0.031209823,0.093331486,-0.028538687,0.09332148,0.087519228,0.093069881,0.093331486,-0.093262546,-0.093331486,0.093276553
amoxicillin,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,D3,-0.095014103,-0.095099226,-0.094525903,-0.086559474,0.016439358,-0.095100634,0.095102079,-0.095101669,-0.01073628,-0.095102124,0.093814112,0.094980456,0.094931178,-0.083693244,-0.020472849,-0.094707586,0.05519449,0.095060259,0.054837428,-0.094616607,-0.094790652,0.095102124,-0.095102124,0.093525417,0.0914151,-0.095086977,-0.094771259,-0.094350137,-0.058670502,0.094791964,-0.075954884,-0.095039994,0.065411545,0.095101945,-0.03961537,-0.083471067,-0.095042013,0.094939165,0.093338743,-0.094891712,0.095011659,-0.095102124,0.074864499,0.095102087,-0.095101565,-0.071316943,-0.094367497,-0.091188572,-0.094460525,-0.095097296,0.094478145,-0.019539187,-0.056438129,0.095101871,0.095101744,-0.094963491,0.094437912,-0.075407214,0.095028616,0.092721738,-0.094447233,-0.094074331,-0.095076784,-0.08621636,-0.095053859,0.090521134,0.095095925,-0.095013462,0.074100718,-0.051351447,-0.092052139,-0.095101982,0.092097528,0.084205709,0.04897923,-0.095087871,-0.095089391,0.091567896,0.095098801,-0.095101655,-0.093411341,-0.08467669,0.092690617,0.093795158,0.092794202,-0.094989069,-0.089370899,-0.088138007,0.066378035,-0.091352664,-0.094955742,-0.095027812,-0.09492664,-0.074370019,0.0910028,-0.095081709,0.094891846,0.088136375,-0.094836727,-0.092076264,0.080699898,-0.094897732,0.094789982,0.091977946,-0.093375616,0.095102124,0.094729111,-0.095102012,0.095096856,-0.094885133,-0.073034205,0.095096759,-0.086973377,0.094805747,-0.094507843,-0.095102124,-0.091523275,0.095090926,-0.095085964,0.093792856,0.094949521,0.095093057,-0.000889847,0.087620869,-0.092861183,-0.092455648,-0.087560728,-0.094949983
ampicillin,AVKUERGKIZMTKX-NJBDSQKTSA-N,D3,0.083756305,-0.098779216,0.097993419,-0.09871453,-0.024402699,0.098757818,-0.090126403,-0.098147899,-0.059420593,-0.029999277,0.098694466,-0.098777354,0.098778896,-0.09877634,-0.098766051,-0.098778784,0.098339759,-0.098778822,0.09665788,-0.098776072,0.018220659,0.098326005,0.097893551,-0.098779216,-0.094653696,0.098778307,-0.098778106,0.098775297,-0.070940554,-0.098764323,-0.004788622,-0.09785226,-0.098779216,-0.098723754,-0.09877751,0.096826099,-0.098776817,0.098779216,0.098776132,-0.070425563,-0.0894005,0.098554239,-0.030578174,0.098779067,-0.092490084,-0.098737448,-0.09500888,0.098779216,-0.098614246,-0.098569661,0.098598748,0.098777197,-0.004299853,0.041850507,-0.00352299,-0.098497331,-0.098575868,0.061556481,0.096356243,0.098725311,-0.098776624,-0.039383117,-0.098737322,-0.098777801,-0.09822125,0.014985264,-0.09877675,-0.079360679,-0.085146345,-0.095911652,0.098532796,-0.092723884,0.097176902,0.09877912,0.071846098,0.098728612,-0.098777011,0.098748527,0.098778792,-0.096137233,-0.091709569,-0.098723471,0.098779216,0.081500523,0.098777525,0.098296337,-0.027932813,-0.09822987,-0.09807042,-0.095687687,0.06359487,-0.098256178,-0.091188215,-0.068050519,-0.007970796,-0.047294348,-0.097367398,0.0972284,0.098779216,0.011879803,0.095131777,0.085275479,0.098528758,0.092578076,-0.098778613,-0.098779216,0.097102001,0.098661624,0.053560432,-0.088942409,-0.09877912,-0.096996695,-0.085094191,-0.098697335,0.098779216,-0.098779038,-0.063408725,0.045540329,0.098316215,0.096232995,-0.006001248,0.098767944,-0.001407153,0.098773271,-0.098545216,-0.050446987,0.098422572,-0.098698936
anisomycin,YKJYKKNCCRKFSL-RDBSUJKOSA-N,D3,0.095795266,0.087179661,-0.096940599,0.096941084,-0.091853991,-0.096288241,-0.096676037,-0.038313977,0.096943006,0.096944302,0.095922917,0.096940175,-0.094083838,-0.08877486,-0.086164713,0.096938334,-0.073622853,0.02909274,-0.096789122,0.096944302,0.092534333,-0.096639022,-0.094621144,0.096906245,0.094612129,0.096944302,-0.096195325,-0.095235638,-0.036956027,0.009024115,0.094752982,-0.096744522,0.096944302,-0.096471541,0.093246706,0.096943632,0.096681647,-0.096894868,-0.095944218,-0.096925676,-0.069991298,-0.096102767,0.014660719,-0.096930176,-0.096938781,0.096943825,0.096944138,-0.096880279,-0.096944228,-0.096874706,0.09694045,0.096761085,-0.096908882,-0.096944258,0.096172087,0.096944198,-0.096424706,-0.096932933,-0.096944273,0.074365437,0.089316562,0.08041288,0.094244689,0.086462788,0.096943721,-0.089844652,-0.093481436,-0.094358087,0.095614739,-0.027465913,0.02659633,0.016850805,0.09694311,0.096924104,0.091161571,0.096944287,0.095460281,-0.095618248,-0.096944302,0.096777253,-0.051905733,-0.09636575,-0.09580303,0.096943125,0.095562294,0.096928246,-0.089638673,0.096658625,0.096634299,-0.096333377,-0.096599184,-0.096409321,0.095800415,-0.095646299,0.096830077,0.096944302,0.095664389,-0.096944302,-0.040555649,-0.069367751,-0.058959458,-0.096836679,0.096819274,-0.096944302,0.096944101,-0.00511083,-0.096942931,0.048449781,-0.027940596,0.08480227,0.092012212,-0.096936218,0.096944124,-0.026024917,-0.096704625,0.089617386,0.096904352,-0.050067872,0.037320569,-0.048737127,-0.096797004,-0.096633539,-0.096901454,-0.096830063,-0.090757638,-0.032546397,0.096930414,-0.095420338
ansamicin,ATEBXHFBFRCZMA-VXTBVIBXSA-N,D3,-0.113872699,0.084300764,-0.044240084,0.107992783,-0.112395369,-0.019666592,-0.096460812,0.112465151,-0.117852822,-0.106860906,-0.096988671,0.044398453,-0.092727222,-0.090026528,-0.088338792,-0.110202491,-0.11580652,0.088583648,-0.020486673,0.070678733,-0.093022332,0.116655886,-0.031403955,0.005555839,0.10830272,0.022211267,0.057514291,0.016993241,-0.109311186,0.04641651,0.110308528,0.085998058,-0.034382928,0.112305105,0.04481281,0.062662467,-0.020212576,-0.074869201,-0.006954832,-0.118411154,-0.11569497,-0.116003342,0.039129592,0.032085519,0.003858819,-0.114394218,-0.108284734,0.08092007,-0.107686415,-0.106680416,0.030603826,-0.10293936,0.107969157,0.097044885,0.044297684,-0.11268755,0.117738806,0.107893705,0.096933626,0.062585682,-0.113566473,-0.117869228,-0.116338693,0.115876816,0.027246235,-0.114576951,0.004178348,-0.117105372,0.103328481,0.005458597,0.090232596,-0.09858641,0.08098232,0.117778994,0.021166867,0.089566909,-0.115725622,-0.109261438,0.101114392,-0.117937282,0.112050332,-0.012003605,-0.089122251,0.118168451,-0.01879951,-0.116611868,-0.114327788,-0.033062428,-0.092629761,-0.115831219,0.023135714,0.080373824,0.035534028,-0.109278664,-0.047830727,0.11093951,-0.047998834,-0.068755768,0.05891164,-0.116820857,-0.115859598,0.116358362,-0.076311782,-0.039289601,-0.100628354,0.104385473,0.027903939,0.017783009,0.05367922,-0.092278458,-0.117584988,-0.117310643,0.113239229,0.102075584,-0.078711703,-0.103300855,-0.036657065,0.002284256,0.033410572,-0.085724697,0.097420357,-0.091085449,-0.114903755,-0.114967883,-0.013236574,-0.114265025,0.115958497,0.026743725
aphidicolin,NOFOAYPPHIUXJR-APNQCZIXSA-N,D3,0.109703936,-0.109323226,0.043221194,-0.103252567,-0.106171608,0.017499687,-0.016212098,-0.09549237,0.104475692,-0.010485477,0.108749457,0.109454356,0.104314387,-0.066382289,-0.109683603,-0.047014307,-0.109067611,-0.102219112,0.028492378,0.107132338,-0.025356852,-0.076565862,-0.089911319,0.107711442,-0.007646959,0.108299911,-0.083356902,0.107625574,0.109342471,-0.052492399,0.083429188,-0.089789987,-0.083749145,0.107252076,-0.108006112,0.10966114,0.017086893,0.102429494,-0.008036458,-0.020602092,0.099550746,-0.107927069,0.037903648,0.032551721,-0.109543018,0.109471731,0.097216077,-0.108631268,-0.086827606,-0.109511457,0.001618167,0.108712152,-0.044093329,-0.048005842,0.107430786,0.05597692,-0.108211786,-0.109279223,-0.109688461,0.108669661,0.103062943,0.084721662,0.097121872,-0.10904099,0.062963583,-0.108971432,0.00627814,-0.086086154,0.096536614,-0.102435797,0.029288175,0.107589789,0.105698578,0.109424375,-0.109262675,-0.014924199,-0.041288145,-0.068147257,-0.01156954,-0.109320343,-0.087136507,-0.108902574,0.020543387,0.085633069,0.108500488,0.108852789,-0.033263713,0.075706638,0.109670371,-0.109678514,-0.060161777,-0.011560457,0.020783463,-0.108836494,-0.06073701,0.108531341,0.107589148,-0.105931506,0.077847563,-0.052360296,0.05972011,-0.062450133,-0.109514907,-0.109712556,0.10671857,0.100649789,-0.106763646,0.102722429,0.005431191,0.108439773,0.109462522,-0.107883058,0.109227031,-0.0731273,-0.109402888,-0.109053023,-0.027431922,0.109442718,-0.106152251,-0.064844042,0.107455716,0.097787656,-0.105980352,-0.079108946,-0.008358303,-0.106001057,0.04566697,-0.108707555
