original_name,space,space_name,dimension,cc_level,cc_sublevel,cc_level_name,cc_sublevel_name,group_label
dim_0,CC,Chemical Checker,0,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_1,CC,Chemical Checker,1,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_2,CC,Chemical Checker,2,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_3,CC,Chemical Checker,3,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_4,CC,Chemical Checker,4,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_5,CC,Chemical Checker,5,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_6,CC,Chemical Checker,6,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_7,CC,Chemical Checker,7,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_8,CC,Chemical Checker,8,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_9,CC,Chemical Checker,9,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_10,CC,Chemical Checker,10,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_11,CC,Chemical Checker,11,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_12,CC,Chemical Checker,12,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_13,CC,Chemical Checker,13,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_14,CC,Chemical Checker,14,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_15,CC,Chemical Checker,15,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_16,CC,Chemical Checker,16,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_17,CC,Chemical Checker,17,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
