inchikey,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48,s_49,s_50,s_51,s_52,s_53,s_54,s_55,s_56,s_57,s_58,s_59,s_60,s_61,s_62,s_63,s_64,s_65,s_66,s_67,s_68,s_69,s_70,s_71,s_72,s_73,s_74,s_75,s_76,s_77,s_78,s_79,s_80,s_81,s_82,s_83,s_84,s_85,s_86,s_87,s_88,s_89,s_90,s_91,s_92,s_93,s_94,s_95,s_96,s_97,s_98,s_99,s_100,s_101,s_102,s_103,s_104,s_105,s_106,s_107,s_108,s_109,s_110,s_111,s_112,s_113,s_114,s_115,s_116,s_117,s_118,s_119,s_120,s_121,s_122,s_123,s_124,s_125,s_126,s_127
ACTOXUHEUCPTEW-CEUOBAOPSA-N,0.6192953588101869,-0.527337657717256,0.7179952909519004,0.7034180309584421,-0.8955852971295806,-0.16629420056711358,-0.25888007058964746,0.5268367599702748,-0.34735055647388313,-0.4969051258852526,-0.6275897424147827,0.3582831092202595,-0.03975587256453772,0.3784556828279506,0.6186734817477753,-0.31882747509288795,0.07122930004754963,-0.2641896368443073,0.08848584744406829,0.025821152881360276,0.3252558929647821,0.7998355126840124,-0.6268811484878279,0.43760224185265795,-0.8212845379930289,-0.9066614148987633,0.7506417558407478,0.27609329365430557,0.5881093212866773,-0.38782505589105276,0.3422186181259967,0.31296439316557456,0.3507839762466398,0.3232666449452537,0.42783320847238326,-0.6394332466932444,0.07639231308229322,-0.1155193868988039,0.5413251695170007,-0.07076282470283479,0.4597514258056377,-0.2500691471632931,0.16319854347832607,-0.8116340493103222,0.6077830399428112,0.4130185464307985,-0.304110361201914,-0.08916631859701274,-0.017231687030345055,0.2912974006651858,-0.7853922182673653,0.7896725090969694,0.54541149376011,-0.7431044638158761,0.6793007703928989,0.45325448861711576,0.16753353440055607,0.6762270024301877,-0.8454185589787654,-0.09200023675985314,0.09661327334421774,0.591293135383125,-0.043727652509108816,-0.09333843172688577,-0.43753952217083236,0.1944118005347717,0.023466671078400145,0.29256132472089774,-0.12169842222723526,0.6128646564737983,0.7600898822890911,0.3082560518829715,0.5669771288837746,-0.6045199470223012,-0.38125104272097343,-0.7460753018070503,-0.30176604798065726,0.9737816718280315,-0.7247852085700623,0.947009091125443,-0.01845477212910379,0.04156392967683434,0.9798282098323798,-0.34365872491858673,0.3228649120484657,-0.6177223424694182,-0.029611057515154582,0.9091540522984256,-0.9140713590286926,-0.6156730403835904,0.4138205166558638,0.34222248235199926,-0.5418297867475448,-0.7147881017892904,-0.4223287941331739,-0.9349005802966703,-0.05703176227624529,0.16078358809221172,-0.47303582206127737,0.1921131872434405,0.5318695821710312,-0.6142921326055194,-0.4476579168756464,0.5882683893538816,-0.11686733639068622,-0.4752540921084999,-0.2481917567623143,-0.7867256080488534,0.2347365172084639,-0.20498567322641578,0.2122426137053689,-0.5166153465382571,0.1535811374417111,0.823307994449378,0.2543992823131599,-0.3629712208302144,0.1353025198643798,-0.09653199561856074,-0.7297256738589102,0.09376229103394018,0.39284506774636124,-0.5921300519836825,0.14460505955990716,0.36173888418220224,-0.820365725128834,0.16912123921868893,-0.08926042665935774,-0.318074075310734
AGOYDEPGAOXOCK-KCBOHYOISA-N,-0.37447126567865574,-0.8464337294253621,-0.44972728411916396,-0.3525587513596924,0.45792176299372245,-0.29356081813460533,-0.7649163613242695,-0.1265920237800347,-0.9419540596351649,0.74113218731476,0.885575915180745,0.9182547071602263,0.6647958652603558,-0.2043454838509431,0.27718468161976806,-0.7618249871217353,-0.9229105726723089,-0.19575689279582276,0.08292404432407174,0.07849593375970187,-0.5354281610604308,-0.19917858349643916,0.6947287546407481,-0.7932414401342835,-0.45708764628874243,-0.5476880547862556,-0.7112401769535066,-0.548328391893088,-0.2763990701852824,-0.7945653810467043,0.5893274345947543,0.4776075700977036,-0.2165919225354257,-0.16551771344710617,-0.5514370360280596,0.22296894147590662,0.21587016323670627,-1.0,0.02543604011304912,-0.05528522203662001,0.0850578398970897,0.5167430655660761,0.5643224242092688,0.5239432541717806,-0.5956335710944194,-0.036113327267771334,0.03744013596582063,0.9215523656030588,-0.25823438306659807,0.06963431270323406,0.4186920456454988,-0.7658110319980825,-0.21945519666807084,-0.3892824713939267,-0.7365768842485024,-0.4390461447420895,0.21310963471924696,-0.12181141563455977,0.3331492164805039,0.6323434654494136,0.7324595788222372,-0.03510457926082117,-0.36920907177656015,-0.5644275465659325,-0.2263206457715543,-0.8881080494027952,-0.03964480032426221,0.433157876830507,0.5114467866533605,-0.9999999999999999,-0.3304960140001494,0.1432286861236341,-1.0,0.024354940374569756,0.01926948358896219,0.6694314789407279,-0.5157102879499863,-0.4383353421830871,-0.6042356715734918,-0.8857689378614437,-0.48250325529851784,-0.44331315068207644,1.0,-1.0,-0.780359908193851,-0.7432543349789635,-0.48137953353636276,-0.775027909553363,0.38577439245556766,0.5563177096640732,0.2624955581461424,0.8084741276817711,-0.477607430599449,0.23253785663384974,0.8991114531588892,0.28424920982658,-0.37814696563938205,0.8743754155553545,0.8146053005289879,-0.006126826225671289,0.29676804943159685,-0.3308027296558213,-0.4499785951288712,0.5949047938532395,-0.05133268988046619,0.09134892248664289,-0.6457493159665857,0.3619517261199211,0.005833647138428266,0.5301653901214534,0.9321285803370443,0.04024153217881246,0.8496885175470335,-0.9059081376235192,-0.787894053362275,-0.5582833373823374,-0.920963502556024,0.8245265346943312,0.21740075092332112,0.8674422524715142,-0.5439212694793492,-0.5909008179315224,-0.6268649914179338,0.9312734210276656,0.13311240050750406,0.3829961688669732,-0.561203585597172,-0.38332045042864177
AOJJSUZBOXZQNB-TZSSRYMLSA-N,-0.3263082818781985,-0.0077058136873868754,0.2713295476279984,0.5369944416464869,-0.42108090053429614,0.43049058761578873,0.3458297122076944,0.3714177194286187,0.12859476242562784,-0.4565032914235796,-0.2147603145781663,-0.9044268715700485,0.899658038474316,-0.23706336903491132,-0.6038050135110279,0.4313040476112189,0.7135210492146935,0.15280548599684085,0.14770201534790628,0.3329663528628103,0.44544266815102385,0.19077085896806534,-0.2595756569580333,0.516761262606865,-0.14019811840278587,0.540004068967558,0.5276103231939793,0.48250398265333205,0.1960203083149452,0.2038773485224208,-0.12964561484629455,0.4077069737927719,0.708491752797585,0.6083245945716546,0.50226452359872,0.34029461275434125,-0.5544620844470972,-0.21368841436905373,0.09637118531720532,0.8810330775251978,-0.24400289111054252,0.16802752932575715,-0.3392880910072529,0.10668207242742578,0.2222452916471745,0.4780655254946524,0.7464818203363701,-0.44874356697486495,-0.31277462284173696,-0.40317920861856493,0.3127297169306915,-0.5591624512487823,-0.06030024251699251,-0.36524972778547354,0.34559788633979116,0.06612038541858743,0.4091105591364854,-0.19323795652963816,-0.5159619082688927,-0.6836013091281983,-0.6197452468908232,0.29453715840765976,0.9175403377520578,-0.11919898975603915,0.0900865245675222,0.2861150754513795,-0.1330811752030257,0.44211247685286437,-0.3470845170771373,0.8771361082689468,0.6056438102780373,-0.062418245033917685,0.7336881472957423,0.6073377685568682,-0.03272197444082359,0.5246202850189253,0.5956710221132331,-0.17480788853398305,0.03158243826192486,-0.18756693400604507,0.5070162072309183,-0.22309680377669172,-0.3850099358419019,0.4862968475475331,0.5454785093756749,0.851349133004207,-0.5079897060586687,0.6645887523796936,0.3634518832445641,-0.07334465151206626,-0.605982830899316,-0.8315355971698879,-0.04784844817477002,0.3878766094783417,-0.10237306246541539,0.42120006020368916,-0.6905264706062593,-0.36550367552885565,0.6415073490254554,-0.4532440841465427,-0.1478527400341941,0.10387149344531199,-0.17261019606402878,0.14108985430228954,-0.24313791783982586,0.03667810516218897,-0.5382804694247345,-0.19810200197595063,-0.2515574234728115,-0.8409123394972545,-0.36034174450348355,0.14110317650969748,0.32652958675028154,-0.7382978232072267,0.5943971493277959,0.2709350979591786,0.7919489385855538,-0.36091622878732554,0.37093582897295607,-0.510623889186256,0.27193269233456,0.01884006510534819,0.6643474873106707,0.06397847247314459,-0.09704112617561689,-0.26055418581995116,0.6546891416563884,-0.0014721570657028893
AUJRCFUBUPVWSZ-XTZHGVARSA-M,-0.32989647425976115,-0.846747192772266,-0.3706179141686947,-0.6617522266759573,0.4928131235952858,-0.3924111012390002,-0.6508732062654801,-0.1381444967385022,-0.96712904602375,0.7099728574548405,0.9599159139205994,0.6215443178202305,0.8037405286682733,-0.6459045342726032,0.27202551767350114,-0.808424851214941,-0.7131117977767931,-0.23913183191278142,-0.0041978261545173035,0.11746522932414832,-0.8605040853466848,-0.10832675596585278,0.62087651714189,-1.0,-0.6209936917359433,-0.4553031350423751,-0.9304778280988444,-0.36856137711301895,-0.4443101782044051,-0.8868004564505836,0.8194436860610161,0.36417656722389197,-0.19650941054500382,-0.2805052145080785,-0.6394214397602669,0.20701422487648113,0.2120390314795112,-0.6228497477428291,-0.0874419692775198,0.09711429055608012,0.004597243069057733,0.31904958250608506,0.23713743321412467,0.51512413112144,-0.4540255562505584,-0.02002008854392906,-0.048823979348909925,0.5963858021940736,-0.20302873859920845,-0.00994316659729061,0.5038572585203405,-0.9481598762174304,-0.32037466756727795,-0.22717950585685082,-0.8574893488686227,-0.5115158168275435,0.231213064579089,-0.1881383283522734,0.13612372652510096,0.5462403432429295,0.7724767329004688,0.44290670504089147,-0.1572641937668553,-0.3784784288964609,-0.1695080692428666,-0.9823227501385379,0.25098405778819155,0.5025414461309653,0.5565055245626045,-0.9170073234415859,-0.23224021775549009,0.28862615826200233,-0.8283803222094361,0.19438885528871067,0.0018602142165967672,0.6138354143254069,-0.38360294748023804,-0.4536945261412727,-0.7197991166686376,-0.7964105523691665,-0.6487685274968833,-0.46395208270371113,0.6710411452456768,-0.6258475843028042,-0.7857053112869434,-0.47245798779153214,-0.6014885116554349,-0.5101247704667715,0.3365343718381918,0.9033372199042582,0.10912200476594103,0.9995947978475406,-0.5157795710778911,0.21256172719678676,0.8400157737735575,0.17007333143803202,-0.3484930843664397,0.957231025647576,0.5929278943444457,0.09002138824130745,0.2538685923393025,-0.24209245311720606,-0.46762355431041314,0.6432414419201984,-0.13855520083153902,0.30890839941881365,-0.7289872918566759,0.22887354779346003,0.35745381971544343,0.38240764563720614,0.7483032575247355,0.15719537318104726,0.9403139572278503,-0.7877075972565987,-0.6853554871048487,-0.5480004291533225,-0.6234948198826037,0.6333624370961853,0.3964309447742841,0.919146067017001,-0.6357735435719893,-0.6848420388690606,-0.5991399556746386,0.883630186083288,0.17032712528502358,0.6004993900470534,-0.7388565023209397,-0.309036453333556
BJNLLBUOHPVGFT-CAYRISATSA-N,-0.4351473418014819,-0.026019380881043608,0.1288662010381011,0.526843144965631,-0.2525433205642226,0.3325540196481145,-0.03406696608874643,0.3299744034348939,0.2718628754175395,-0.29206002558262867,-0.1965827142390726,-0.8764922866604599,0.8258290284441094,-0.35601894919893906,-0.47682907315993556,0.39583675840375276,0.5291311945283965,-0.1377143926719515,-0.09634741932105023,0.31325712382534354,0.4463482797705399,-0.0042218411103530085,-0.15900058921609195,0.5526878049474389,-0.4577392474270659,0.5073557213657616,0.5366747272615736,0.16720998539693768,0.01782044049745385,0.2252445474576823,-0.14529090361998653,0.22629339843984697,0.7226794339825224,0.3965243914125579,0.44879707825376314,0.3049733415986563,-0.31620948278099287,-0.09510186336659686,0.003638751127283346,0.5900971707781573,-0.1944649146285241,0.10828128120822578,-0.4184921277979017,0.02423929019055404,0.24575157558332072,0.3470048279716172,0.6731268936037561,-0.21356945519672477,-0.2246964569112222,-0.5163555735063201,0.13618795924290805,-0.4209029173057951,-0.048363820352983145,-0.3597790635317934,0.2896102443424049,0.16017512789396277,0.09764059978365514,-0.2719228816160425,-0.6339092099341274,-0.5571744904453776,-0.49667225929743514,0.24926413387285223,0.8586072885893985,-0.19100850216092055,0.2830682273199435,0.08981735264080704,-0.10332141476014284,0.4050673393309323,-0.22012600259754478,0.6979355706924077,0.36262104065193757,-0.05470208624725033,0.6263269562715766,0.37792800034706014,0.14874206141765556,0.5460773701591941,0.5467530572952866,-0.2584927300187042,0.16645500305926764,-0.2608373592898452,0.592547444244355,-0.056364152693393996,-0.3541661312559119,0.44357671223459794,0.5347647209303645,0.7141893042145964,-0.2661172616990396,0.48730980026039544,0.2800259626214612,-0.045112323629010964,-0.18465370159764283,-0.622972260696774,-0.040418991995479187,0.3831626116349582,-0.12743300916532568,0.4842676053982642,-0.5005239580588426,-0.3722526742260055,0.6227890794191785,-0.3990211164861588,-0.18316723656978307,0.17472367954019896,-0.0790256364936412,0.1925866879234755,0.012778060160939408,0.07500880451499076,-0.2677029782972103,-0.16836406828747252,-0.44354358900212465,-0.6437856107735578,-0.23613071738729263,0.25811476782191556,0.2541015939057727,-0.6003929941239821,0.5128386898451077,0.4055165933118675,0.5910685743386284,-0.15168320289555978,0.23467153058451484,-0.3847134285367867,0.14197563981122113,-0.02815910057923432,0.5940774554449259,0.10726209909172257,-0.15121964318080605,-0.14789430529644876,0.38082070959965975,-0.05581148108884203
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-0.4706585352166728,0.306734461929588,-0.21325788303885293,0.4803893837057682,-0.10171447028581837,-0.053630413500704854,-0.20625250396985673,0.13900090826521339,-0.277131596631236,-0.014903441175552867,0.043277409598872746,-0.5568532245962624,0.6068483351657724,-0.2171643660253173,-0.24834420745521624,-0.061212858536371595,0.28771406573638014,0.010467802766242151,0.316674014109392,0.024491456468673733,0.06451473349349773,-0.12507615507711128,-0.0984635608352184,0.2100883369606965,-0.38188542240307605,0.41946755114787626,0.26046864100426964,0.11376310956721825,-0.05507957417268727,0.31241011072246416,0.013756623591778983,0.130992175787587,0.2339165456696759,0.05337443973813821,0.45557787918000403,-0.11026210050842689,-0.2854767342278047,0.016440494606044104,-0.3443757837527811,0.2184004325336304,-0.5105604533336792,0.20548243646557174,-0.4855740508041324,0.21076767171826916,-0.20389546221491006,0.0514548013984813,0.6292668137067554,-0.1382103171066662,0.18457714296640448,-0.40942717370249615,0.2713249110157192,-0.5528210636124307,-0.2881171658661696,-0.11357656606555488,-0.01370197787509761,-0.005149206049716741,0.21605378710049528,-0.2130621477861857,-0.22473507630620704,-0.23202460859509466,0.03775672808528896,0.3583905622203859,0.32111350886860107,-0.22533426229329734,0.05928586765397137,-0.05596115911140609,-0.18962194892453643,0.056848878973895345,-0.02692563093704059,0.8014355313806902,0.14386704288376523,0.07192287168357323,0.42871475834292305,0.10109502555740152,-0.14107041564248302,0.3079310962955812,0.3084481235323564,0.00885245742076668,-0.18442755705919545,-0.33310615435874263,0.3156704529713257,-0.20458486613795768,-0.31903627722200967,0.4546300396634444,0.1912914785544817,0.17373780977163816,-0.24920595416387803,0.20702561492408883,0.33400454345875574,0.36225054504942095,-0.5303189666566155,-0.6932587546980133,0.05044352329575242,0.4631678215794397,-0.14481214580563917,0.514239844808268,-0.18131093693505984,-0.13060399913557574,0.4954695210707566,0.12164894168978235,-0.3957752182129038,0.2902140164312357,0.22281839602339948,-0.1914242061910455,0.006552939227970844,0.09285250357932301,-0.648526576300873,0.03488749292321042,-0.11564690287328683,-0.16051923833901782,-0.415913080671783,0.422608518413371,0.26223568901752703,-0.7225528663169186,0.23763339000382677,0.004519675076674168,0.21374079892587194,-0.0612356928547616,0.2949496181931057,-0.18067265409444844,0.2417129812031441,0.031004587041879805,0.3912797386053315,0.019624594255464034,0.07680809500260688,-0.4864281898253564,-0.25647702076371404,0.32079434376486876
BWWVAEOLVKTZFQ-NTZNESFSSA-N,-0.5028574118021879,1.0,-0.8610764857574379,0.5778604133464875,0.029638937182582037,0.15014033074989636,-0.8085547775339366,0.2831838824209396,-0.6887351439376473,1.0,0.47944817078409696,0.30489984640103096,-0.7847568175558153,-0.7019464471988376,0.3232612495943701,-0.5140164841789148,0.31250999206523283,0.030326156467159304,0.29712022449794717,-0.809664540445284,-0.5999278971640513,-1.0,0.4850387467785639,-0.37132670450504274,-0.23103646130458733,0.6846402451819666,-0.0775290131826174,-0.9880160854942917,-1.0,0.5291369522769045,0.09103040878738577,-1.0,-0.921609936522757,-0.9035350230402129,-0.09307106858271452,-1.0,0.3501706329639531,-0.4409843590443548,-1.0,-1.0,-0.5418981107559453,-0.32795093363778244,-0.38210577194748063,0.7806259763975121,-1.0,-0.2686052401975,-0.7683456708935354,-0.28135230697703384,1.0,-0.24787853560227335,-0.5127501871343243,-0.6470900499677479,-1.0,1.0000000000000002,0.6306050295711371,-1.0,0.07985955072545375,-0.7892075763677979,0.014678204656110472,-0.2623932842222768,0.7597646580846118,0.6655244635682331,-0.09560805808344996,-0.8867367378264513,0.6287045687989276,-0.615937857174566,-0.8988251692140979,-1.0,-0.8299927222857375,0.697663343766908,-1.0,-0.8527866750442445,-0.11100618527042572,-0.6913308988090225,0.3010988888765307,0.04385595995670244,-0.38332079404178754,0.7538020793622727,-0.28837067010812834,-0.7167924034365407,0.9497887519046959,-0.7653167564638328,-1.0,1.0000000000000002,0.3232603420951854,0.08594202193633088,0.9459858289750591,0.18554439798320083,0.12238779756791326,0.737463214838314,-0.43262983865287397,-0.5563936879795492,0.939441006469273,0.9999999999999999,-0.03517424295427507,0.10041264611937056,0.9323082956961901,-0.8211259884435048,-0.8201885184790711,0.247089460928559,-1.0,1.0,0.9999999999999999,-0.6625149461937028,1.0,1.0,-0.6534230701306618,0.5762592368291541,-0.9223741215616894,-0.011491061984461523,-1.0,1.0,-0.948522798078469,-0.6804865401611863,-0.6220939642787686,-0.4234818392919464,-0.554957217121219,-0.7774006635657931,0.8298824941041523,0.2033132930951373,-0.03691353781585392,0.9639007681230674,0.7798029248857867,-0.9445773840051688,1.0,-1.0,-0.9979689580895557,0.7582042956000564
BYBLEWFAAKGYCD-UHFFFAOYSA-N,-0.5088919179686582,0.28154777816025867,-0.09291281665710348,0.5821649752438247,-0.15234719583231882,0.18421419303937764,0.017986410844074985,0.20523821319461644,-0.012504107949556698,-0.12514273234954598,-0.06129892372109541,-0.8779929210909847,0.8166307723430335,-0.3946231886763212,-0.4850454529820715,0.2045095847170617,0.5163060199708811,-0.04018896563454977,0.20858718460190862,0.1111004776620278,0.23971308839519279,-0.13545747237824418,-0.09521123128253905,0.3625456976628403,-0.2808572380157823,0.6357424379329111,0.46455768786432927,0.25215339853084334,-0.034220750838996006,0.3852135093545208,-0.14937262004757845,0.17412748820652746,0.5163177971108921,0.23109757934019826,0.4291825580603421,0.14934924248585713,-0.35049927983806084,0.014119930844126355,-0.244840281088179,0.5302281292113525,-0.5096690668858188,0.14394804657907845,-0.4671540419110243,0.24643102058530808,0.0035821852644195573,0.19540402990629083,0.7989593319568787,-0.2081406423307819,-0.04203139639381259,-0.54272396440803,0.2513343823039672,-0.5745221068962078,-0.30616935313016413,-0.1942249075977679,0.11305278628499577,-0.033198399663809317,0.2452257539535343,-0.3682386094956116,-0.4984759216071357,-0.6193923027700949,-0.2688296855838029,0.40692659504744544,0.6594364973213354,-0.13350705973285143,0.2143685331445383,-0.01992104649155979,-0.168161485982062,0.1807629684712927,-0.2402735451900171,0.8787479782225625,0.2781909458684886,0.021965983791690052,0.572489930955121,0.33157271801624555,-0.03581120911143498,0.5252583716553021,0.5523341143195817,-0.13519877879238662,0.0011671491225816455,-0.38868785549394336,0.5119580274276216,-0.12539215481934624,-0.4367948640360657,0.6117906422408488,0.30496916762640947,0.5690134122911547,-0.31163034209268115,0.3747931037391772,0.44739209285455206,0.2553119135287687,-0.5556998580981032,-0.8328187373193432,0.14566545643407663,0.5639827520780288,-0.1494781297901706,0.6549241600749202,-0.37554678547134773,-0.364178041002152,0.596933024461249,-0.16572977368615405,-0.4500172470679984,0.34598871015861676,0.182111266307585,-0.14629334396173777,-0.008771138283351465,0.1376028004551802,-0.5456227909530986,-0.003437562056814225,-0.1849515101873911,-0.46518714966475566,-0.4914783974245278,0.4523450750875354,0.2606936655812834,-0.7544290563732436,0.4312488629305964,0.23754992915270579,0.4164039331868219,-0.2202333592621402,0.432241550807704,-0.317660940461862,0.2719857829042777,0.05258689110812487,0.5467750175500496,0.006027031903442448,0.024553976007679723,-0.4371691326669085,0.11503498100729831,0.21558436354833582
CEAZRRDELHUEMR-UHFFFAOYSA-N,-0.7013158394925628,0.44311794106504454,-0.21121175547245472,0.7644058402956482,-0.18007871905958006,0.08295890688588786,0.16962179714883996,-0.024027743373792432,-0.12143547698812482,0.04422674944622984,-0.1367601656518676,-0.8782482646459169,0.8983174040283992,-0.4537862584882226,-0.47280342987200785,-0.08516369096548637,0.6017806853931095,0.08530786390157163,0.38185024338643825,0.20461219998566596,0.030136101313136876,-0.21648570936748876,-0.21389976879088934,0.34272749256746193,-0.1706133162738704,0.39955883551076155,0.44796618443909686,0.4147264138419328,0.2439701939029683,0.3326807820287505,-0.06535277221737479,0.04738667788249459,0.5970686791233257,0.1146452519090656,0.2873007900292859,0.003299066870520173,-0.6662902577011911,0.1576070450018705,-0.34071061929204705,0.6807211852712617,-0.5763273227632508,0.026280880503319892,-0.5247557647589405,0.6610781997504169,-0.09327610947873033,0.3472398166391394,0.7752549892922646,-0.25050599843019694,-0.012233503508671584,-0.3700476840079294,0.14200210812544867,-0.5861863919417878,-0.4232262985127453,0.003243968266128716,0.12415346690963552,0.012777775395474318,0.5190389168005064,-0.4524964729014793,-0.6509604762489263,-0.6436127218264911,-0.19657309668730666,0.3838557547089164,0.6200893778264343,-0.23974928967221504,0.007505759599816586,0.031803597033662534,-0.4181557989821303,0.12653961866157315,-0.5823076344624624,1.0,0.4222280063908913,0.10235421030877173,0.6250251726121981,0.33188440858157064,-0.2963996930229455,0.49626455602821223,0.5260256316245016,0.18004830972732094,-0.2786452843576309,-0.2516629381946264,0.33247333425682224,-0.15301645528726415,-0.3954307562597461,0.5286013240332337,0.13858099130115065,0.6246263892604389,-0.4483278794439817,0.6409878154060735,0.3039249374797167,0.3618093176538947,-0.805397337182808,-1.0,0.29564463259396456,0.677830058123443,-0.1790666759952424,0.44458752111309935,-0.3683357743854983,-0.557012986385319,0.746580217985586,-0.15905924883713074,-0.7260415729326015,0.28329671858767314,0.31515430444498244,-0.4082857269385767,-0.2580149288679988,0.15706122102252723,-0.8475966295478241,0.09759000627814524,-0.06489000855897054,-0.3317539797204135,-0.5811444603811906,0.4951336871146441,0.299627401913491,-0.9333463491643628,0.15217595874555356,-0.028088578232307593,0.22428255211991144,-0.6350356388805105,0.6949929419471481,-0.46448796846397933,0.3106077752536472,0.03896741293728878,0.9015690295833196,-0.10398472981435236,0.12670594527101575,-0.4166907124307553,0.05168966522947599,0.4744542851657385
CLKOFPXJLQSYAH-ABRJDSQDSA-N,0.6032895082210552,-0.46443537174252936,0.6801619807021363,-0.01590144443601224,-0.4689950412131103,-0.013712060482462707,0.9834101352589774,0.7182627363553795,-0.7524095883221417,-0.7086232177955261,0.08603472273932743,0.02164684807844164,0.4813933902783286,0.2732653161332559,-0.5087468016922058,0.2908213592871469,0.9710196985377357,0.8739446948529306,0.8733699899744815,-0.030856208130794205,0.3088914333178553,0.8654876283861757,-0.5027625100963701,0.05671773424942039,0.7720945876875084,0.3071600154592271,0.5054683599915807,1.0,0.18193243568201783,-0.05680113716957036,0.6720002772778905,0.91033883426709,-0.0919792443263554,0.9835994206406353,0.1715248927330928,0.2402304357543119,-0.6320446111125528,-0.5502401245614568,0.2441225930849893,0.689064000451901,-0.2403123625631841,0.1572924806469289,-0.1043826078022515,-0.16283008620556783,0.0004888381945575837,0.3221746906750075,0.37002773549011103,-0.924335920680921,-0.396447350809767,0.29821281821965967,0.7890896869891997,-0.7521673780666588,-0.1004314459546023,-0.626875077708299,0.12257615081067524,-0.3796175831149952,0.9999999999999999,0.1455712961641531,0.4811842805122537,-0.5499254999143004,-0.36982236500568033,0.188271450146753,0.23732701555251864,0.2052901729825058,-0.659428160235839,0.4198044904445717,0.3333698679995618,0.4078279845831571,0.13492385165698662,0.6026095816355717,0.7670536829309493,-0.23059795175897146,0.37484177215189873,0.42374391049933274,-0.7314726556851928,-0.16662989596188715,-0.014499741178480519,0.06045886129852264,-0.519967504923107,-0.052693424403246314,0.061559772821720316,-0.8478380941463365,-0.00385412841070476,0.05213480774979906,0.0731795653689109,0.307774690532357,-0.8391461739082767,0.5891334118831426,0.5510673310043335,0.09404680226865075,-0.9842625810316816,-0.6449464377424579,-0.3745351383927915,-0.0806476862711702,0.11167170197744611,0.31976729601819487,-0.7746146916614067,0.08454924628701521,0.2881825363013456,-0.5558481312454954,0.5279552476079068,-0.39438385224859346,-0.32634566628830364,0.49658296798193174,-0.5484468608828249,-0.30557454105912557,-1.0,-0.2786300075609097,0.6003920433921406,-0.9595331868769833,-0.053787449819682864,-0.5087802309527103,0.5605842478694326,-0.5736979445483612,0.7456132646595691,-0.5013332116576787,0.8943699762801547,0.047005222802533664,0.5039899937787349,-0.5332970578406817,0.753710052839088,-0.09279179191471576,-0.22120817850697777,0.24172547920199638,-0.04598416175684106,-0.26907924245843895,0.7978143459026013,0.24354466305500122
