	BSUBTILIS	ECOLI_BW25113	ECOLI_IAI1	PA_PA14	PA_PAO1	SA_DSM20231	SA_NEWMAN	SPNEUMO	STYPI_14028	STYPI_LT2
actoxuheucptew-ceuobaopsa-n	0.65	0.73	0.79	0.88	0.86	0.74	0.7	0.79	0.84	0.8
agoydepgaoxock-kcbohyoisa-n	0.4	0.45	0.57	0.44	0.36	0.47	0.39	0.34	0.54	0.6
aojjsuzboxzqnb-tzssrymlsa-n	0.85	0.81	0.86	0.91	0.9	0.92	0.82	0.92	0.84	0.81
aujrcfubupvwsz-xtzhgvarsa-m	0.32	0.545	0.63	0.77	0.78	0.37	0.66	0.31	0.725	0.6799999999999999
bjnllbuohpvgft-cayrisatsa-n	0.76	0.88	0.88	0.83	0.82	0.99	0.87	0.34	0.87	0.85
bsynrymutxbxsq-uhfffaoysa-n	0.64	0.68	0.75	0.84	0.78	0.73	0.7	0.93	0.89	0.67
bwwvaeolvktzfq-ntznesfssa-n	0.65	0.0	0.0	0.91	0.9	0.74	0.7	0.79	0.0	0.0
byblewfaakgycd-uhfffaoysa-n	0.71	0.545	0.63	0.77	0.78	0.63	0.73	0.94	0.725	0.6799999999999999
ceazrrdelhuemr-uhfffaoysa-n	0.57	0.01	0.67	0.0	0.0	0.71	0.9	0.95	0.5	0.0
clkofpxjlqsyah-abrjdsqdsa-n	0.8	0.73	0.79	0.91	0.9	0.17	0.27	0.48	0.78	0.83
daikhdnsxmzdcu-fqtgfapksa-n	0.98	0.545	0.63	0.77	0.78	0.93	0.94	0.98	0.725	0.6799999999999999
dcopuumxtxdbnb-uhfffaoysa-n	0.65	0.97	0.97	0.99	0.96	0.74	0.7	0.79	0.99	0.97
dhprqbpjlmkorj-xrnkamncsa-n	0.73	0.545	0.63	0.77	0.78	0.41	0.29	0.39	0.725	0.6799999999999999
dmjnnhooluxybv-pqtsnvlcsa-n	0.65	0.09	0.12	0.0	0.0	0.74	0.7	0.79	0.0	0.0
doaklvkfurwedj-qcmazarjsa-n	0.92	0.84	0.89	0.9	0.88	0.97	0.99	0.88	0.9	0.88
dydcuqkucuhjbh-uwtatzphsa-n	0.97	0.58	0.67	0.84	0.86	0.97	0.97	0.77	0.0	0.89
fabprxsrwadjsp-meduhntesa-n	0.06	0.0	0.04	0.67	0.96	0.77	0.52	0.73	0.0	0.64
fbozxeclqnjbkd-zdusscgksa-n	0.65	0.545	0.63	0.77	0.78	0.8	0.7	0.79	0.725	0.6799999999999999
fqybtyfkohpwqt-vgswgcgisa-n	0.65	0.0	0.18	0.0	0.99	0.74	0.7	0.79	0.45	0.0
ghasvsinzrgabv-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.74	0.7	0.79	0.725	0.6799999999999999
ghxztyhsjhqhij-uhfffaoysa-n	0.65	0.0	0.12	0.0	0.0	0.74	0.7	0.79	0.83	0.85
gkirpkyjqbwngo-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.44	0.7	0.79	0.725	0.6799999999999999
gprbekhldvquje-qswimtsfsa-n	0.32	0.57	0.39	0.76	0.0	0.8	0.42	0.95	0.79	0.71
gsdswsvvblhkdq-jtqlqieisa-n	0.5	0.0	0.0	0.0	0.0	0.59	0.49	0.79	0.0	0.0
hefnnwsxxwatrw-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.82	0.7	0.79	0.725	0.6799999999999999
hupfgzxomwlgnk-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.47	0.7	0.79	0.725	0.6799999999999999
hvflcnvbzffhbt-zkdacbomsa-n	0.7	0.545	0.63	0.77	0.78	0.94	0.89	0.94	0.725	0.6799999999999999
iecpwnumdgfdkc-mzjaqbgesa-n	0.48	0.56	0.43	0.84	0.83	0.35	0.26	0.73	0.73	0.86
iedvjhcemcrbqm-uhfffaoysa-n	0.43	0.49	0.46	0.85	0.83	0.43	0.54	0.54	0.46	0.53
ivbhgbmcvldmku-gxnbugajsa-n	0.65	0.8	0.68	0.0	0.0	0.74	0.7	0.79	0.62	0.6
jfpvxvdwjqmjee-izrzkjbusa-n	0.43	0.545	0.63	0.77	0.78	0.83	0.95	0.29	0.725	0.6799999999999999
jgsarldlijgvte-mbnywofbsa-n	0.43	0.8	0.67	0.91	0.93	0.38	0.9	0.66	0.62	0.62
jlkigftwxxrpmt-uhfffaoysa-n	0.95	0.545	0.63	0.77	0.78	0.96	0.98	0.95	0.725	0.6799999999999999
jqxxhwhpunpdrt-wlsiykjhsa-n	0.79	0.41	0.0	0.87	0.0	0.64	0.4	0.5	0.0	0.17
kdlrvyvgxiqjdk-awpvfwjpsa-n	0.58	0.78	0.76	0.9	0.87	0.24	0.41	0.57	0.64	0.6
kworuugoslyagd-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.98	0.7	0.79	0.725	0.6799999999999999
ljvajpdwbabpej-pnuffhfmsa-n	0.41	0.545	0.63	0.77	0.78	0.37	0.35	0.37	0.725	0.6799999999999999
lkcwbdhbtvxhdl-rmdfuyiesa-n	0.65	0.0	0.77	0.0	0.0	0.74	0.7	0.79	0.72	0.36
lsqzjlsuydqpkj-njbdsqktsa-n	0.33	0.45	0.0	0.92	0.89	0.37	0.87	0.93	0.76	0.84
lztcfldzlboldw-uhfffaoysa-n	0.65	0.0	0.31	0.52	0.85	0.74	0.7	0.79	0.51	0.55
mfdferrihvxmiy-uhfffaoysa-n	0.94	0.42	0.5	0.38	0.2	0.97	0.97	0.97	0.26	0.4
mgsrczkzvobkft-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.94	0.7	0.79	0.725	0.6799999999999999
mindhvhhqzyeek-hbbnesrfsa-n	0.38	0.71	0.6	0.77	0.78	0.48	0.05	0.73	0.84	0.72
mqtosjvfkkjcrp-bicopxkesa-n	0.71	0.51	0.61	0.55	0.73	0.7	0.78	0.35	0.53	0.34
mwoogojbhiarfg-uhfffaoysa-n	0.65	0.85	0.85	0.75	0.69	0.74	0.7	0.79	0.79	0.86
mypyjxkwctuito-lyrmylqwsa-n	0.42	0.545	0.63	0.77	0.78	0.98	0.97	0.65	0.725	0.6799999999999999
myswguaqzajsok-uhfffaoysa-n	0.67	0.0	0.0	0.0	0.0	0.6	0.47	0.84	0.0	0.0
nkanxqfjjicgdu-qplcgjkrsa-n	0.65	0.545	0.63	0.77	0.78	0.96	0.7	0.79	0.725	0.6799999999999999
nlvfbuxfdbbnbw-pbsuhmdjsa-n	0.65	0.0	0.83	0.0	0.0	0.74	0.7	0.79	0.85	0.0
nvnlliyoarqcix-gsjozigcsa-n	0.44	0.83	0.92	0.88	0.84	0.66	0.75	0.24	0.87	0.85
nwibshfkijfrco-wudykrtcsa-n	0.31	0.34	0.0	0.0	0.4	0.7	0.64	0.78	0.54	0.33
nxfqhrvnioxgaq-ycrremrbsa-n	0.38	0.55	0.4	0.71	0.35	0.59	0.74	0.85	0.81	0.75
oekwjqxrcdyshl-fnoidjsqsa-n	0.65	0.545	0.63	0.77	0.78	0.83	0.7	0.79	0.725	0.6799999999999999
ojmmvqqutaewlp-kidudljlsa-n	0.95	0.545	0.63	0.77	0.78	0.6	0.83	0.46	0.725	0.6799999999999999
oyvagsvqbohsss-wxfszrtfsa-o	0.65	0.34	0.28	0.88	0.91	0.74	0.7	0.79	0.77	0.47
pbbgszcbwvpool-hdicaceksa-n	0.65	0.545	0.63	0.77	0.78	0.83	0.7	0.79	0.725	0.6799999999999999
pwwvaxiegoywee-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.98	0.7	0.79	0.725	0.6799999999999999
qrblkghrwfgine-ugwagolrsa-n	0.6	0.17	0.16	1.0	1.0	0.56	0.3	0.97	0.54	0.0
qyiyflotgylrgg-gpccphfnsa-n	0.65	0.47	0.55	0.92	0.9	0.74	0.7	0.79	0.0	0.0
refjwtpedvjjiy-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.99	0.7	0.79	0.725	0.6799999999999999
rmixhjpmnbxmbu-qiixehpysa-n	0.65	0.88	0.89	0.83	0.81	0.74	0.7	0.79	0.91	0.93
rxwncpjzocpepq-nvwddtsbsa-n	0.94	0.63	0.0	0.77	0.78	0.91	0.97	0.83	0.72	0.78
ryyvlzvuvijvgh-uhfffaoysa-n	0.65	0.85	0.88	0.85	0.85	0.88	0.7	0.79	0.86	0.84
rzekvgvhfleqil-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.94	0.7	0.79	0.725	0.6799999999999999
sckyraxsedypsa-uhfffaoysa-n	0.65	0.27	0.15	0.75	0.58	0.74	0.7	0.79	0.27	0.3
sgkrlcuyixiahr-akngssgzsa-n	0.74	0.42	0.0	0.5	0.85	0.5	0.28	0.79	0.4	0.55
sovuoxkzccawoj-hjyubdrysa-n	0.99	0.84	0.89	0.87	0.72	0.75	0.98	0.95	0.88	0.88
sylkglmblaagsc-qlvmhmetsa-n	0.65	0.62	0.86	0.0	0.0	0.74	0.7	0.79	0.89	0.82
tynlgdbujlvsma-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.9	0.7	0.79	0.725	0.6799999999999999
tyzrovqlwokykf-zdusscgksa-n	0.36	0.88	0.88	0.83	0.8	0.49	0.4	0.49	0.89	0.85
ucsjyzpvakxknq-hzyvhmacsa-n	0.56	0.545	0.63	0.77	0.78	0.74	0.81	0.91	0.725	0.6799999999999999
ugtjljzqqfgtjd-uhfffaoysa-n	0.61	0.26	0.04	0.85	0.85	0.51	0.46	0.67	0.37	0.61
ulgzdmovfrhvep-rwjqbgpgsa-n	0.48	0.54	0.65	0.59	0.61	0.37	0.35	0.41	0.49	0.52
unfwwihtnxnpbv-wxkvuwsesa-n	0.97	0.51	0.53	0.67	0.72	0.82	0.84	0.89	0.66	0.58
uwyhmgvutgawsp-jkifevaisa-n	0.75	0.78	0.83	0.93	0.88	0.75	0.72	0.84	0.86	0.85
vaocpamslunlgc-uhfffaoysa-n	0.99	0.81	0.86	0.85	0.86	0.99	0.97	0.99	0.85	0.85
vfldpwhfbuoddf-fcxrpnkrsa-n	0.65	0.89	0.91	0.77	0.55	0.74	0.7	0.79	1.0	0.99
vhfgebvphagqpi-lxkzptcjsa-n	0.24	0.545	0.63	0.77	0.78	0.31	0.41	0.36	0.725	0.6799999999999999
voxzdwnpvjitmn-zbrfxrbcsa-n	0.65	0.545	0.63	0.77	0.78	0.95	0.7	0.79	0.725	0.6799999999999999
vvzbfokbsdgvgz-uhfffaoysa-n	0.64	0.0	0.0	0.0	0.0	0.9	0.93	0.81	0.7	0.65
wdqpamhffcxsnu-uhfffaoysa-n	0.65	0.88	0.9	0.83	0.82	0.74	0.7	0.79	0.9	0.9
whqchucqkniqec-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.64	0.7	0.79	0.725	0.6799999999999999
wiizwvcijkgzok-rkdxnwhrsa-n	0.65	0.51	0.0	0.0	0.87	0.47	0.5	0.52	0.63	0.63
wmbwrepuvvbilr-wiyylymnsa-n	0.69	0.8	0.76	0.7	0.46	0.83	0.78	0.95	0.8	0.88
wmpxpuypyqkqcx-uhfffaoysa-n	0.65	0.88	0.88	0.81	0.77	0.74	0.7	0.79	0.88	0.85
wqvjhhacxvlgbl-bpjdfbqwsa-n	0.65	0.29	0.79	0.08	0.76	0.74	0.7	0.79	0.85	0.84
wtjxvdpdeqktcv-vqaitoiosa-n	0.65	0.7	0.66	0.0	0.0	0.74	0.7	0.79	0.71	0.82
wzpbzjondbgpkj-vehqqrbssa-n	0.65	0.0	0.0	0.0	0.0	0.74	0.7	0.79	0.0	0.0
xefqlinvkfyrcs-uhfffaoysa-n	0.58	1.0	1.0	0.99	0.97	0.67	0.45	0.82	1.0	0.98
xfalpsljihvrke-gfccvegcsa-n	0.78	0.545	0.63	0.77	0.78	0.65	0.67	0.72	0.725	0.6799999999999999
xgallcvxezpnrq-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.95	0.7	0.79	0.725	0.6799999999999999
xjgvxqduiwgirw-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.97	0.7	0.79	0.725	0.6799999999999999
xzwyzxlipxdolr-uhfffaoysa-n	0.65	0.54	0.27	0.58	0.48	0.74	0.7	0.79	0.63	0.67
ybhilyktiriute-uhfffaoysa-n	0.65	0.8	0.85	0.88	0.76	0.74	0.7	0.79	0.89	0.9
yeznlouzaiomlt-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.63	0.7	0.79	0.725	0.6799999999999999
yjqpygghqpgbli-kgsxxdossa-n	0.91	0.45	0.0	0.91	0.86	0.67	0.52	0.56	0.28	0.85
ykqoskadjpqzhb-rgysvoegsa-n	0.65	0.84	0.97	0.0	0.0	0.74	0.7	0.79	0.92	0.99
ymdxzjfxqjvxbf-sthayslisa-n	0.62	0.39	0.49	0.0	0.0	0.69	0.45	0.9	0.77	0.65
yncmlfhhxwetld-uhfffaoysa-n	0.85	0.25	0.0	0.77	0.78	0.81	0.7	0.96	0.81	0.69
zaipmknfioowcq-uekvphqbsa-n	0.95	0.84	0.88	0.9	0.9	0.99	1.0	0.61	0.87	0.86
zpeimtdsqakgnt-uhfffaoysa-n	0.65	0.545	0.63	0.77	0.78	0.94	0.7	0.79	0.725	0.6799999999999999
zsjlqepllkmakr-gkhcufpysa-n	1.0	0.84	0.79	0.98	1.0	0.82	0.69	0.96	0.7	0.55
zskvgtpcrgianv-zxflcmhbsa-n	0.69	0.28	0.44	0.0	0.0	0.7	0.45	0.93	0.0	0.07
