inchikey	ECOLI_BW25113	ECOLI_IAI1	STYPI_LT2	STYPI_14028	PA_PAO1	PA_PA14	BSUBTILIS	SA_DSM20231	SA_NEWMAN	SPNEUMO
actoxuheucptew-ceuobaopsa-n	0.73	0.79	0.8	0.84	0.86	0.88				
agoydepgaoxock-kcbohyoisa-n	0.45	0.57	0.6	0.54	0.36	0.44	0.4	0.47	0.39	0.34
aojjsuzboxzqnb-tzssrymlsa-n	0.81	0.86	0.81	0.84	0.9	0.91	0.85	0.92	0.82	0.92
aujrcfubupvwsz-xtzhgvarsa-m							0.32	0.37	0.66	0.31
bjnllbuohpvgft-cayrisatsa-n	0.88	0.88	0.85	0.87	0.82	0.83	0.76	0.99	0.87	0.34
bsynrymutxbxsq-uhfffaoysa-n	0.68	0.75	0.67	0.89	0.78	0.84	0.64	0.73	0.7	0.93
bwwvaeolvktzfq-ntznesfssa-n	0.0	0.0	0.0	0.0	0.9	0.91				
byblewfaakgycd-uhfffaoysa-n							0.71	0.63	0.73	0.94
ceazrrdelhuemr-uhfffaoysa-n	0.01	0.67	0.0	0.5	0.0	0.0	0.57	0.71	0.9	0.95
clkofpxjlqsyah-abrjdsqdsa-n	0.73	0.79	0.83	0.78	0.9	0.91	0.8	0.17	0.27	0.48
daikhdnsxmzdcu-fqtgfapksa-n							0.98	0.93	0.94	0.98
dcopuumxtxdbnb-uhfffaoysa-n	0.97	0.97	0.97	0.99	0.96	0.99				
dhprqbpjlmkorj-xrnkamncsa-n							0.73	0.41	0.29	0.39
dmjnnhooluxybv-pqtsnvlcsa-n	0.09	0.12	0.0	0.0	0.0	0.0				
doaklvkfurwedj-qcmazarjsa-n	0.84	0.89	0.88	0.9	0.88	0.9	0.92	0.97	0.99	0.88
dydcuqkucuhjbh-uwtatzphsa-n	0.58	0.67	0.89	0.0	0.86	0.84	0.97	0.97	0.97	0.77
fabprxsrwadjsp-meduhntesa-n	0.0	0.04	0.64	0.0	0.96	0.67	0.06	0.77	0.52	0.73
fbozxeclqnjbkd-zdusscgksa-n								0.8		
fqybtyfkohpwqt-vgswgcgisa-n	0.0	0.18	0.0	0.45	0.99	0.0				
ghasvsinzrgabv-uhfffaoysa-n								0.74		
ghxztyhsjhqhij-uhfffaoysa-n	0.0	0.12	0.85	0.83	0.0	0.0				
gkirpkyjqbwngo-uhfffaoysa-n								0.44		
gprbekhldvquje-qswimtsfsa-n	0.57	0.39	0.71	0.79	0.0	0.76	0.32	0.8	0.42	0.95
gsdswsvvblhkdq-jtqlqieisa-n	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.59	0.49	0.79
hefnnwsxxwatrw-uhfffaoysa-n								0.82		
hupfgzxomwlgnk-uhfffaoysa-n								0.47		
hvflcnvbzffhbt-zkdacbomsa-n							0.7	0.94	0.89	0.94
iecpwnumdgfdkc-mzjaqbgesa-n	0.56	0.43	0.86	0.73	0.83	0.84	0.48	0.35	0.26	0.73
iedvjhcemcrbqm-uhfffaoysa-n	0.49	0.46	0.53	0.46	0.83	0.85	0.43	0.43	0.54	0.54
ivbhgbmcvldmku-gxnbugajsa-n	0.8	0.68	0.6	0.62	0.0	0.0				
jfpvxvdwjqmjee-izrzkjbusa-n							0.43	0.83	0.95	0.29
