drug ,3_letter_code,ECBW25113,ECiAi1,STLT2,ST14028,PAO1,PA14
Amoxicillin,AMX,0.45,0.00,0.84,0.76,0.89,0.92
Oxacillin,OXA,0.78,0.83,0.85,0.86,0.88,0.93
Cefotaxime,CTX,0.57,0.39,0.71,0.79,0.00,0.76
Cefaclor,CEC,0.47,0.55,0.00,0.00,0.90,0.92
Cefsulodin,CFS,0.62,0.86,0.82,0.89,0.00,0.00
Piperacillin,PIP,0.80,0.68,0.60,0.62,0.00,0.00
Penicillin G,PEN,0.80,0.67,0.62,0.62,0.93,0.91
Imipenem,IPM,0.28,0.44,0.07,0.00,0.00,0.00
Mecillinam,MEC,0.00,0.00,0.00,0.00,0.90,0.91
Aztreonam,ATM,0.00,0.00,0.00,0.00,0.00,0.00
Cephalexin,LEX,0.84,0.88,0.86,0.87,0.90,0.90
A22,A22,0.00,0.31,0.55,0.51,0.85,0.52
Cycloserine D,DCS,0.58,0.67,0.89,0.00,0.86,0.84
Teicoplanin,TEC,0.88,0.88,0.85,0.87,0.82,0.83
Bacitracin,BAC,0.73,0.79,0.83,0.78,0.90,0.91
Fosfomycin,FOF,0.39,0.49,0.65,0.77,0.00,0.00
Metronidazole,MTZ,0.81,0.86,0.85,0.85,0.86,0.85
Clofazimine,CLO,0.88,0.90,0.90,0.90,0.82,0.83
Doxorubicin,DXR,0.81,0.86,0.81,0.84,0.90,0.91
Mitomycin C,MMC,0.34,0.00,0.33,0.54,0.40,0.00
Rifampicin,RIF,0.41,0.00,0.17,0.00,0.00,0.87
Ciprofloxacin,CIP,0.00,0.00,0.00,0.00,0.00,0.00
Novobiocin,NVB,0.45,0.00,0.85,0.28,0.86,0.91
Levofloxacin,LCX,0.00,0.00,0.00,0.00,0.00,0.00
Trimethoprim,TMP,0.49,0.46,0.53,0.46,0.83,0.85
Sulfamonomethoxine,SMM,0.88,0.88,0.85,0.88,0.77,0.81
Nitrofurantoin,NIT,0.55,0.40,0.75,0.81,0.35,0.71
Bleomycin,BLM,0.34,0.28,0.47,0.77,0.91,0.88
Polymyxin B,PMB,0.29,0.79,0.84,0.85,0.76,0.08
Chlorhexidine,CHG,0.00,0.12,0.85,0.83,0.00,0.00
Benzalkonium,BZK,0.00,0.00,0.65,0.70,0.00,0.00
EGCG,EGCG,0.80,0.76,0.88,0.80,0.46,0.70
Cerulenin,CER,0.80,0.81,0.80,0.84,0.89,0.86
Nisin,NSN,0.83,0.92,0.85,0.87,0.84,0.88
Daptomycin,DAP,0.84,0.89,0.88,0.90,0.88,0.90
CCCP,CCCP,0.26,0.04,0.61,0.37,0.85,0.85
Nonactin,NON,0.88,0.89,0.93,0.91,0.81,0.83
Paraquat,PQ,0.76,0.75,0.82,0.83,0.87,0.86
Fusidic acid,FUS,0.56,0.43,0.86,0.73,0.83,0.84
Puromycin,PUR,0.63,0.00,0.78,0.72,0.78,0.77
Chloramphenicol,CHL,0.51,0.00,0.63,0.63,0.87,0.00
Linezolid,LZD,0.88,0.88,0.85,0.89,0.80,0.83
Clindamycin,CLI,0.78,0.76,0.60,0.64,0.87,0.90
Doxycycline,DOX,0.42,0.00,0.55,0.40,0.85,0.50
Minocycline,MIN,0.70,0.66,0.82,0.71,0.00,0.00
Tigecycline,TGC,0.84,0.89,0.88,0.88,0.72,0.87
Spectinomycin,SPT,0.51,0.53,0.58,0.66,0.72,0.67
Amikacin,AMK,0.00,0.77,0.36,0.72,0.00,0.00
Tobramycin,TOB,0.00,0.83,0.00,0.85,0.00,0.00
Spiramycin,SPM,0.73,0.79,0.80,0.84,0.86,0.88
Erythromycin,ERI,0.54,0.65,0.52,0.49,0.61,0.59
Clarithromycin,CLR,0.45,0.57,0.60,0.54,0.36,0.44
Caffeine,CAF,0.85,0.88,0.84,0.86,0.85,0.85
Vanillin,VNL,0.85,0.85,0.86,0.79,0.69,0.75
Reserpine,RSP,0.86,0.90,0.88,0.87,0.74,0.84
Procaine,PRC,0.42,0.50,0.40,0.26,0.20,0.38
Theophylline,TPH,0.87,0.90,0.87,0.87,0.89,0.91
Loperamide,LOP,0.59,0.66,0.82,0.85,0.71,0.79
Verapamil,VPM,0.87,0.80,0.85,0.86,0.78,0.83
PMS,PMS,0.46,0.00,0.70,0.68,NA,NA
Pyocyanin,PYO,0.25,0.00,0.69,0.81,NA,NA
Pseudomonic acid,PSA,0.71,0.60,0.72,0.84,NA,NA
Meropenem,MEM,0.09,0.12,0.00,0.00,0.00,0.00
Colistin,CST,0.84,0.97,0.99,0.92,0.00,0.00
Flucytosine,5FC,NA,NA,NA,NA,0.78,0.91
CHIR-90,CHIR90,0.00,0.18,0.00,0.45,0.99,0.00
Triclosan,TRI,1.00,1.00,0.98,1.00,0.97,0.99
Gentamicin,GEN,0.01,0.67,0.00,0.50,0.00,0.00
Azithromycin,AZM,0.51,0.61,0.34,0.53,0.73,0.55
Curcumin,CCM,0.89,0.91,0.99,1.00,0.55,0.77
Berberine,BBR,0.80,0.85,0.90,0.89,0.76,0.88
Metformin,MF,0.54,0.27,0.67,0.63,0.48,0.58
Phenformin,PHM,0.95,1.00,1.00,1.00,1.00,0.00
Streptozotocin,STZ,0.84,0.79,0.55,0.70,1.00,0.98
Diclofenac,DIC,0.97,0.97,0.97,0.99,0.96,0.99
Acetylsalisylic acid,ASA,0.68,0.75,0.67,0.89,0.78,0.84
Ciclopirox,CPO,0.27,0.15,0.30,0.27,0.58,0.75
Moxifloxacin,MXF,0.00,0.04,0.64,0.00,0.96,0.67
Phleomycin,PLM,0.17,0.16,0.00,0.54,1.00,1.00
