Strain,Fitness_estimated,Donor,Donor_conc,Biol_rep
SANewman,1,AMX,1,1
SANewman,1,AMX,2,1
SANewman,0.936660482,AMX,3,1
SANewman,0.435330252,ASA,1,1
SANewman,0.860667639,ASA,2,1
SANewman,0.924872237,ASA,3,1
SANewman,0.972330391,AUR,1,1
SANewman,1,AUR,2,1
SANewman,0.987021122,AUR,3,1
SANewman,0.404252763,AZM,1,1
SANewman,0.829762967,AZM,2,1
SANewman,0.894621575,AZM,3,1
SANewman,0.049349449,BAC,1,1
SANewman,0.116385308,BAC,2,1
SANewman,0.61203233,BAC,3,1
SANewman,1,BZK,1,1
SANewman,1,BZK,2,1
SANewman,1,BZK,3,1
SANewman,0.040505875,CCCP,1,1
SANewman,0.061471514,CCCP,2,1
SANewman,0.021543861,CCCP,3,1
SANewman,0.941153225,CER,1,1
SANewman,0.90497273,CER,3,1
SANewman,0.080822254,CIP,1,1
SANewman,0.556879978,CIP,2,1
SANewman,0.616879899,CIP,3,1
SANewman,0.117263389,CLI,1,1
SANewman,0.331677195,CLI,2,1
SANewman,0.59593701,CLI,3,1
SANewman,0.036694989,CLR,1,1
SANewman,0.055035733,CLR,2,1
SANewman,0.102659601,CLR,3,1
SANewman,0.086923227,CTC,1,1
SANewman,0.032179547,CTC,2,1
SANewman,0.082750188,CTC,3,1
SANewman,0.040722503,CTX,1,1
SANewman,0.037237813,CTX,2,1
SANewman,0.040204465,CTX,3,1
SANewman,0.984917244,DAP,1,1
SANewman,0.969306419,DAP,2,1
SANewman,0.970822057,DAP,3,1
SANewman,0.976555673,DCS,1,1
SANewman,0.964400057,DCS,2,1
SANewman,0.975654295,DCS,3,1
SANewman,0.005355798,DOX,2,1
SANewman,0.008341029,DOX,3,1
SANewman,0.859982793,EGCG,1,1
SANewman,0.775879981,EGCG,2,1
SANewman,0.744225039,EGCG,3,1
SANewman,0.869558319,FEP,1,1
SANewman,0.877520729,FEP,2,1
SANewman,0.923249003,FEP,3,1
SANewman,0.168779878,FOF,1,1
SANewman,0.499038781,FOF,2,1
SANewman,0.567157889,FOF,3,1
SANewman,1,GEN,1,2
SANewman,0.998559995,GEN,2,1
SANewman,1,GEN,2,2
SANewman,0.961984184,GEN,3,1
SANewman,0.919762686,GEN,3,2
SANewman,0.020100224,IPM,1,1
SANewman,0.00226315,IPM,2,1
SANewman,0.009508641,IPM,3,1
SANewman,0.044596797,LCX,1,1
SANewman,0.440744577,LCX,2,1
SANewman,0.765321759,LCX,3,1
SANewman,1,LEX,1,1
SANewman,1,LEX,2,1
SANewman,1,LEX,3,1
SANewman,0.913123082,LIN,2,1
SANewman,0.984680098,LIN,3,1
SANewman,0.010541422,LOP,1,1
SANewman,0.084880437,LOP,2,1
SANewman,0.57224298,LOP,3,1
SANewman,0.065768165,LZD,1,1
SANewman,0.152434514,LZD,2,1
SANewman,0.375367089,LZD,3,1
SANewman,0.159968183,MXF,1,1
SANewman,0.592445848,MXF,2,1
SANewman,0.757501012,MXF,3,1
SANewman,0.106703928,NVB,1,1
SANewman,0.277804313,NVB,2,1
SANewman,0.61564454,NVB,3,1
SANewman,0.052036149,ORI,1,1
SANewman,0.162445137,ORI,2,1
SANewman,0.596283995,ORI,3,1
SANewman,0.581815587,OXA,1,1
SANewman,0.689604031,OXA,2,1
SANewman,0.745274713,OXA,3,1
