Strain,Fitness_estimated,Recipient_Drug,Concentration,Replicate
SANewman,1,ADEP,0.25,1
SANewman,1,ADEP,0.25,2
SANewman,1,ADEP,0.5,1
SANewman,0.986039742,ADEP,0.5,2
SANewman,1,ADEP,1,1
SANewman,1,ADEP,1,2
SANewman,0.954233342,AMX,0.0625,1
SANewman,0.924901999,AMX,0.0625,2
SANewman,0.925390861,AMX,0.125,1
SANewman,0.905525941,AMX,0.125,2
SANewman,0.876803976,AMX,0.25,1
SANewman,0.87718794,AMX,0.25,2
SANewman,0.596440036,ASA,1000,1
SANewman,0.991709255,ASA,1000,2
SANewman,0.935172374,ASA,250,1
SANewman,1,ASA,250,2
SANewman,0.877819218,ASA,500,1
SANewman,1,ASA,500,2
SANewman,0.892712667,AUR,0.0625,1
SANewman,0.890742865,AUR,0.0625,2
SANewman,0.702820872,AUR,0.125,1
SANewman,0.675034704,AUR,0.125,2
SANewman,0.037758896,AUR,0.25,1
SANewman,0.089886994,AUR,0.25,2
SANewman,0.917971151,AZM,0.125,1
SANewman,0.902284135,AZM,0.125,2
SANewman,0.855057343,AZM,0.25,1
SANewman,0.84633953,AZM,0.25,2
SANewman,0.5483589,AZM,0.5,1
SANewman,0.567063742,AZM,0.5,2
SANewman,0.75354118,BAC,18.75,1
SANewman,0.768628302,BAC,18.75,2
SANewman,0.333182758,BAC,37.5,1
SANewman,0.38116562,BAC,37.5,2
SANewman,0.00957556,BAC,75,1
SANewman,0.047236384,BAC,75,2
SANewman,0.990600667,BZK,0.3125,1
SANewman,1,BZK,0.3125,2
SANewman,1,BZK,0.625,1
SANewman,1,BZK,0.625,2
SANewman,1,BZK,1.25,1
SANewman,1,BZK,1.25,2
SANewman,0.803584078,CCCP,1.25,1
SANewman,0.897714393,CCCP,1.25,2
SANewman,0.714442141,CCCP,2.5,1
SANewman,0.802667587,CCCP,2.5,2
SANewman,0.315249616,CCCP,5,1
SANewman,0.402078168,CCCP,5,2
SANewman,0.990634244,CER,1.95,1
SANewman,1,CER,1.95,2
SANewman,0.975571999,CER,3.9,1
SANewman,1,CER,3.9,2
SANewman,0.952814317,CER,7.8,1
SANewman,0.977608168,CER,7.8,2
SANewman,0.913567888,CHL,0.75,1
SANewman,0.955962876,CHL,0.75,2
SANewman,0.757564776,CHL,1.5,1
SANewman,0.799279118,CHL,1.5,2
SANewman,0.329162137,CHL,3,1
SANewman,0.345923879,CHL,3,2
SANewman,0.902415766,CIP,0.0375,1
SANewman,0.955655034,CIP,0.0375,2
SANewman,0.754785861,CIP,0.075,1
SANewman,0.828252003,CIP,0.075,2
SANewman,0.370741227,CIP,0.15,1
SANewman,0.312788182,CIP,0.15,2
SANewman,0.899430347,CLI,0.0312,1
SANewman,0.924754065,CLI,0.0312,2
SANewman,0.682109062,CLI,0.0625,1
SANewman,0.805567705,CLI,0.0625,2
SANewman,0.248504442,CLI,0.125,1
SANewman,0.300725316,CLI,0.125,2
SANewman,0.735923853,CLR,0.125,1
SANewman,0.782127613,CLR,0.125,2
SANewman,0.434087491,CLR,0.25,1
SANewman,0.474825502,CLR,0.25,2
SANewman,0.168447359,CLR,0.5,1
SANewman,0.142498927,CLR,0.5,2
SANewman,0.697814236,CTC,0.0238,1
SANewman,0.680166515,CTC,0.0238,2
SANewman,0.376014696,CTC,0.0475,1
SANewman,0.425011214,CTC,0.0475,2
SANewman,0.059251673,CTC,0.095,1
SANewman,0.083351292,CTC,0.095,2
SANewman,0.234165535,CTX,0.625,1
SANewman,0.259429262,CTX,0.625,2
SANewman,0.086831725,CTX,1.25,1
SANewman,0.06613099,CTX,1.25,2
SANewman,0.055921194,CTX,2.5,1
SANewman,0.042257287,CTX,2.5,2
SANewman,1,DAP,0.125,1
SANewman,0.990498179,DAP,0.125,2
SANewman,1,DAP,0.25,1
SANewman,0.992265545,DAP,0.25,2
SANewman,1,DAP,0.5,1
SANewman,0.98138777,DAP,0.5,2
SANewman,1,DCS,0.375,1
SANewman,1,DCS,0.375,2
SANewman,1,DCS,0.75,1
SANewman,1,DCS,0.75,2
SANewman,1,DCS,1.5,1
SANewman,0.988161995,DCS,1.5,2
SANewman,0.065924627,DOX,0.0625,1
SANewman,0.083820157,DOX,0.0625,2
SANewman,0.019618068,DOX,0.125,1
SANewman,0.035963815,DOX,0.125,2
SANewman,0.00279347,DOX,0.25,1
SANewman,0.012914422,DOX,0.25,2
SANewman,0.924835846,DXR,0.625,1
SANewman,0.938725553,DXR,0.625,2
SANewman,0.886798968,DXR,1.25,1
SANewman,0.882983283,DXR,1.25,2
