drug,bacillus subtilis,staphylococcus aureus dsm 20231,staphylococcus aureus newman,streptococcus pneumoniae
5FU,,0.741593879,,
ADEP,,0.7172851253472222,0.5633760169833333,
ALF,,0.9856888695,,
ALL,,0.9962437743333333,,
AMX,0.32829359785833334,0.3708389900611111,0.8664366486166666,0.93097241125
AMXCLA,0.8163628076666667,0.5253920956666667,0.5938034176666668,
ASA,0.6414599292500001,0.7303521683,0.69784599835,0.930180853125
ATO,,0.9219270966666667,,
AUR,0.3222676424166667,0.37043785316666666,0.6595094781333333,0.3078369782916667
AZM,0.7059035993125,0.7000043020333333,0.78431107865,0.34761105999999997
BAC,0.7974720576666666,0.17180486986666668,0.27422160318333333,0.48159916037500006
BBM,,0.6370503708888889,,
BZK,0.6382842120833334,0.8976007366833332,0.9304289969166667,0.8066871347916666
CA,0.9050445155000001,1.0,,
CAF,,0.87724033225,,
CCCP,0.6058891359166667,0.5089873821722222,0.45749306189444444,0.66858734875
CEL,,0.938190638,,
CER,,0.9844840572222222,0.9576446779500001,
CHL,0.6504017379583333,0.47084430895000007,0.5029370813499999,0.5199097608333333
CIL,,0.9104876178,,
CIP,0.6657321327083334,0.60076062315,0.4671890624666667,0.8376151324166667
CLA,0.8622763821249999,0.93452989025,0.9852315013333334,0.89611516975
CLI,0.5769150688666667,0.24493275101666667,0.41252105368333336,0.5676044786250001
CLM,,0.43996518816666663,,
CLO,,0.9644382691666666,,
CLR,0.39798882545833336,0.4656857663166667,0.3917703447722223,0.3362453905277778
CPR,,0.9377804988333334,,
CTC,0.7310274666250001,0.4073741009166667,0.28956440148333334,0.38988383475
CTX,0.31745515625,0.8018492813666667,0.42497862143333337,0.94914119125
CXA,0.42912421379166665,0.8332875468750001,0.9454684596666666,0.28820928787500005
DAP,0.9188226598333333,0.9706733545833333,0.98609149575,0.882680253125
DAPC,,0.6459245646666667,,
DBP,,0.9474867396666666,,
DCS,0.9653824596666667,0.9712878874666666,0.9712000710833334,0.7696870505416666
DFL,,0.47274849483333337,,
DIA,,0.8951317656666666,,
DIE,,0.9679272333333334,,
DKR,,0.9687457053333333,,
DOX,0.7417899814583333,0.4992648884666666,0.28041019705000003,0.7939389639583334
DXR,0.8471533299166667,0.9217774987666667,0.8241744305500001,0.9184129887500001
EGCG,0.690899815375,0.8252155102333334,0.7847171099833333,0.9515449545833333
ENT,,0.9302527788333333,,
ERI,0.4779127639583334,0.3744031827333334,0.3466719935111111,0.4073953330833333
EST,,0.945099934,,
FEL,,0.9916353900000001,,
FEP,0.6950037499583333,0.9410589912333334,0.8910081818833333,0.9376176965833333
FOF,0.6203746720833333,0.6913721106666666,0.45094068438333335,0.902979303125
FUS,0.48439238470833335,0.35459557853333334,0.25745103013333337,0.72856219125
GEF,,0.9533453316666667,,
GEN,0.57059159475,0.7087353672833334,0.9040608239250001,0.951617999625
GLY,,0.776918655,,
HEX,,0.8269399466666667,,
IBU,,0.8204621806666667,,
IPM,0.6893894538333334,0.7035080698,0.4540758200166667,0.9332242177083333
LCX,0.503942335125,0.5938744843666666,0.4916398080333333,0.7885277330083333
LEX,0.9521869697500001,0.985758696,0.99589946145,0.613149356125
LIN,0.9452815177916667,0.6000233704,0.8295252400666666,0.4633160064583334
LOP,0.29884724441666666,0.6067119040166667,0.4824763354333333,0.8941142807083333
LOR,,0.9428139354999999,,
LOS,,0.9739711628333333,,
LOX,,0.9660503473333333,,
LZD,0.35545111725,0.4884831291833333,0.39604004716666663,0.49360083004166666
MCZ,0.7100006265416667,0.6333812321333333,0.7347796311166667,0.9389290682083333
MEC,,0.985466946,,
MMC,0.31122076675,0.6963101577666666,0.6410772954166667,0.7830367323333333
