elementwise_feature,metric,base_feature,space,dimension
euc_elem_1926,euclidean,dim_1926,CC,1926
cos_elem_2219,cosine,dim_2219,CC,2219
euc_elem_556,euclidean,dim_556,CC,556
euc_elem_1467,euclidean,dim_1467,CC,1467
cos_elem_430,cosine,dim_430,CC,430
cos_elem_3121,cosine,dim_3121,CC,3121
cos_elem_1183,cosine,dim_1183,CC,1183
euc_elem_1265,euclidean,dim_1265,CC,1265
cos_elem_307,cosine,dim_307,CC,307
cos_elem_2246,cosine,dim_2246,CC,2246
euc_elem_2226,euclidean,dim_2226,CC,2226
euc_elem_430,euclidean,dim_430,CC,430
euc_elem_2219,euclidean,dim_2219,CC,2219
euc_elem_635,euclidean,dim_635,CC,635
cos_elem_2596,cosine,dim_2596,CC,2596
cos_elem_2944,cosine,dim_2944,CC,2944
euc_elem_2930,euclidean,dim_2930,CC,2930
euc_elem_2287,euclidean,dim_2287,CC,2287
euc_elem_2869,euclidean,dim_2869,CC,2869
cos_elem_881,cosine,dim_881,CC,881
cos_elem_482,cosine,dim_482,CC,482
cos_elem_2434,cosine,dim_2434,CC,2434
euc_elem_3226,euclidean,s_26,S,26
cos_elem_2423,cosine,dim_2423,CC,2423
euc_elem_1340,euclidean,dim_1340,CC,1340
euc_elem_3172,euclidean,dim_3172,CC,3172
cos_elem_2930,cosine,dim_2930,CC,2930
euc_elem_799,euclidean,dim_799,CC,799
cos_elem_654,cosine,dim_654,CC,654
euc_elem_2175,euclidean,dim_2175,CC,2175
euc_elem_748,euclidean,dim_748,CC,748
cos_elem_645,cosine,dim_645,CC,645
cos_elem_434,cosine,dim_434,CC,434
cos_elem_2652,cosine,dim_2652,CC,2652
cos_elem_1748,cosine,dim_1748,CC,1748
cos_elem_70,cosine,dim_70,CC,70
cos_elem_3327,cosine,s_127,S,127
euc_elem_722,euclidean,dim_722,CC,722
euc_elem_1172,euclidean,dim_1172,CC,1172
cos_elem_3190,cosine,dim_3190,CC,3190
euc_elem_2920,euclidean,dim_2920,CC,2920
euc_elem_1314,euclidean,dim_1314,CC,1314
euc_elem_482,euclidean,dim_482,CC,482
cos_elem_2715,cosine,dim_2715,CC,2715
euc_elem_2889,euclidean,dim_2889,CC,2889
cos_elem_2155,cosine,dim_2155,CC,2155
cos_elem_2845,cosine,dim_2845,CC,2845
euc_elem_2602,euclidean,dim_2602,CC,2602
cos_elem_2889,cosine,dim_2889,CC,2889
euc_elem_1732,euclidean,dim_1732,CC,1732
cos_elem_1172,cosine,dim_1172,CC,1172
euc_elem_2627,euclidean,dim_2627,CC,2627
euc_elem_2199,euclidean,dim_2199,CC,2199
cos_elem_444,cosine,dim_444,CC,444
cos_elem_2175,cosine,dim_2175,CC,2175
euc_elem_2179,euclidean,dim_2179,CC,2179
cos_elem_110,cosine,dim_110,CC,110
euc_elem_968,euclidean,dim_968,CC,968
