elementwise_feature,metric,base_feature,space,dimension
cos_elem_2219,cosine,dim_2219,CC,2219
euc_elem_635,euclidean,dim_635,CC,635
cos_elem_42,cosine,dim_42,CC,42
euc_elem_430,euclidean,dim_430,CC,430
euc_elem_94,euclidean,dim_94,CC,94
euc_elem_3172,euclidean,dim_3172,CC,3172
cos_elem_1816,cosine,dim_1816,CC,1816
euc_elem_2930,euclidean,dim_2930,CC,2930
euc_elem_3327,euclidean,s_127,S,127
euc_elem_1183,euclidean,dim_1183,CC,1183
euc_elem_1633,euclidean,dim_1633,CC,1633
cos_elem_2930,cosine,dim_2930,CC,2930
euc_elem_2219,euclidean,dim_2219,CC,2219
cos_elem_814,cosine,dim_814,CC,814
euc_elem_2717,euclidean,dim_2717,CC,2717
cos_elem_635,cosine,dim_635,CC,635
cos_elem_254,cosine,dim_254,CC,254
euc_elem_1401,euclidean,dim_1401,CC,1401
euc_elem_1314,euclidean,dim_1314,CC,1314
euc_elem_3141,euclidean,dim_3141,CC,3141
euc_elem_799,euclidean,dim_799,CC,799
cos_elem_1554,cosine,dim_1554,CC,1554
euc_elem_2144,euclidean,dim_2144,CC,2144
euc_elem_418,euclidean,dim_418,CC,418
euc_elem_2869,euclidean,dim_2869,CC,2869
cos_elem_450,cosine,dim_450,CC,450
cos_elem_2434,cosine,dim_2434,CC,2434
cos_elem_3300,cosine,s_100,S,100
cos_elem_3106,cosine,dim_3106,CC,3106
euc_elem_1567,euclidean,dim_1567,CC,1567
euc_elem_2602,euclidean,dim_2602,CC,2602
euc_elem_922,euclidean,dim_922,CC,922
cos_elem_652,cosine,dim_652,CC,652
euc_elem_2627,euclidean,dim_2627,CC,2627
cos_elem_654,cosine,dim_654,CC,654
euc_elem_2923,euclidean,dim_2923,CC,2923
cos_elem_430,cosine,dim_430,CC,430
euc_elem_3320,euclidean,s_120,S,120
cos_elem_2944,cosine,dim_2944,CC,2944
cos_elem_307,cosine,dim_307,CC,307
euc_elem_1265,euclidean,dim_1265,CC,1265
euc_elem_2860,euclidean,dim_2860,CC,2860
euc_elem_2292,euclidean,dim_2292,CC,2292
cos_elem_2278,cosine,dim_2278,CC,2278
euc_elem_1754,euclidean,dim_1754,CC,1754
euc_elem_1998,euclidean,dim_1998,CC,1998
cos_elem_2366,cosine,dim_2366,CC,2366
cos_elem_881,cosine,dim_881,CC,881
