elementwise_feature,metric,base_feature,space,dimension
euc_elem_722,euclidean,dim_722,CC,722
euc_elem_2717,euclidean,dim_2717,CC,2717
euc_elem_784,euclidean,dim_784,CC,784
euc_elem_1926,euclidean,dim_1926,CC,1926
euc_elem_1970,euclidean,dim_1970,CC,1970
euc_elem_3172,euclidean,dim_3172,CC,3172
cos_elem_2219,cosine,dim_2219,CC,2219
euc_elem_799,euclidean,dim_799,CC,799
cos_elem_3121,cosine,dim_3121,CC,3121
euc_elem_933,euclidean,dim_933,CC,933
cos_elem_1031,cosine,dim_1031,CC,1031
euc_elem_1686,euclidean,dim_1686,CC,1686
euc_elem_1470,euclidean,dim_1470,CC,1470
cos_elem_2434,cosine,dim_2434,CC,2434
cos_elem_2587,cosine,dim_2587,CC,2587
euc_elem_2902,euclidean,dim_2902,CC,2902
euc_elem_2219,euclidean,dim_2219,CC,2219
euc_elem_1398,euclidean,dim_1398,CC,1398
cos_elem_1583,cosine,dim_1583,CC,1583
cos_elem_1642,cosine,dim_1642,CC,1642
euc_elem_790,euclidean,dim_790,CC,790
cos_elem_1470,cosine,dim_1470,CC,1470
cos_elem_1816,cosine,dim_1816,CC,1816
cos_elem_307,cosine,dim_307,CC,307
euc_elem_3007,euclidean,dim_3007,CC,3007
cos_elem_2104,cosine,dim_2104,CC,2104
euc_elem_1401,euclidean,dim_1401,CC,1401
cos_elem_2743,cosine,dim_2743,CC,2743
cos_elem_2663,cosine,dim_2663,CC,2663
cos_elem_814,cosine,dim_814,CC,814
euc_elem_2226,euclidean,dim_2226,CC,2226
euc_elem_169,euclidean,dim_169,CC,169
cos_elem_2790,cosine,dim_2790,CC,2790
euc_elem_556,euclidean,dim_556,CC,556
cos_elem_1202,cosine,dim_1202,CC,1202
cos_elem_379,cosine,dim_379,CC,379
cos_elem_254,cosine,dim_254,CC,254
cos_elem_1926,cosine,dim_1926,CC,1926
euc_elem_2743,euclidean,dim_2743,CC,2743
euc_elem_2246,euclidean,dim_2246,CC,2246
euc_elem_2144,euclidean,dim_2144,CC,2144
euc_elem_1265,euclidean,dim_1265,CC,1265
cos_elem_2226,cosine,dim_2226,CC,2226
euc_elem_2920,euclidean,dim_2920,CC,2920
cos_elem_2461,cosine,dim_2461,CC,2461
cos_elem_798,cosine,dim_798,CC,798
euc_elem_834,euclidean,dim_834,CC,834
euc_elem_922,euclidean,dim_922,CC,922
euc_elem_2292,euclidean,dim_2292,CC,2292
euc_elem_465,euclidean,dim_465,CC,465
euc_elem_436,euclidean,dim_436,CC,436
cos_elem_834,cosine,dim_834,CC,834
cos_elem_394,cosine,dim_394,CC,394
euc_elem_635,euclidean,dim_635,CC,635
cos_elem_2246,cosine,dim_2246,CC,2246
euc_elem_1920,euclidean,dim_1920,CC,1920
cos_elem_3302,cosine,s_102,S,102
cos_elem_784,cosine,dim_784,CC,784
cos_elem_799,cosine,dim_799,CC,799
euc_elem_1314,euclidean,dim_1314,CC,1314
euc_elem_2602,euclidean,dim_2602,CC,2602
cos_elem_881,cosine,dim_881,CC,881
euc_elem_2840,euclidean,dim_2840,CC,2840
cos_elem_1481,cosine,dim_1481,CC,1481
cos_elem_2409,cosine,dim_2409,CC,2409
euc_elem_476,euclidean,dim_476,CC,476
cos_elem_2081,cosine,dim_2081,CC,2081
euc_elem_3147,euclidean,dim_3147,CC,3147
cos_elem_3294,cosine,s_94,S,94
euc_elem_39,euclidean,dim_39,CC,39
cos_elem_933,cosine,dim_933,CC,933
euc_elem_2594,euclidean,dim_2594,CC,2594
cos_elem_1351,cosine,dim_1351,CC,1351
cos_elem_2136,cosine,dim_2136,CC,2136
euc_elem_1163,euclidean,dim_1163,CC,1163
euc_elem_1183,euclidean,dim_1183,CC,1183
cos_elem_2903,cosine,dim_2903,CC,2903
euc_elem_2652,euclidean,dim_2652,CC,2652
cos_elem_412,cosine,dim_412,CC,412
cos_elem_1920,cosine,dim_1920,CC,1920
euc_elem_723,euclidean,dim_723,CC,723
euc_elem_3121,euclidean,dim_3121,CC,3121
euc_elem_798,euclidean,dim_798,CC,798
cos_elem_1722,cosine,dim_1722,CC,1722
euc_elem_1567,euclidean,dim_1567,CC,1567
cos_elem_2935,cosine,dim_2935,CC,2935
euc_elem_2181,euclidean,dim_2181,CC,2181
cos_elem_2173,cosine,dim_2173,CC,2173
euc_elem_2903,euclidean,dim_2903,CC,2903
euc_elem_1833,euclidean,dim_1833,CC,1833
euc_elem_1319,euclidean,dim_1319,CC,1319
euc_elem_1316,euclidean,dim_1316,CC,1316
cos_elem_2913,cosine,dim_2913,CC,2913
euc_elem_848,euclidean,dim_848,CC,848
cos_elem_2627,cosine,dim_2627,CC,2627
cos_elem_2282,cosine,dim_2282,CC,2282
euc_elem_3195,euclidean,dim_3195,CC,3195
euc_elem_654,euclidean,dim_654,CC,654
euc_elem_2205,euclidean,dim_2205,CC,2205
cos_elem_2717,cosine,dim_2717,CC,2717
euc_elem_938,euclidean,dim_938,CC,938
cos_elem_3193,cosine,dim_3193,CC,3193
cos_elem_712,cosine,dim_712,CC,712
cos_elem_1183,cosine,dim_1183,CC,1183
cos_elem_2047,cosine,dim_2047,CC,2047
cos_elem_723,cosine,dim_723,CC,723
euc_elem_2402,euclidean,dim_2402,CC,2402
cos_elem_2932,cosine,dim_2932,CC,2932
cos_elem_780,cosine,dim_780,CC,780
cos_elem_2644,cosine,dim_2644,CC,2644
cos_elem_957,cosine,dim_957,CC,957
euc_elem_3014,euclidean,dim_3014,CC,3014
cos_elem_1565,cosine,dim_1565,CC,1565
cos_elem_19,cosine,dim_19,CC,19
euc_elem_2341,euclidean,dim_2341,CC,2341
cos_elem_1398,cosine,dim_1398,CC,1398
euc_elem_3072,euclidean,dim_3072,CC,3072
euc_elem_1896,euclidean,dim_1896,CC,1896
cos_elem_434,cosine,dim_434,CC,434
cos_elem_3195,cosine,dim_3195,CC,3195
euc_elem_307,euclidean,dim_307,CC,307
euc_elem_2019,euclidean,dim_2019,CC,2019
euc_elem_1967,euclidean,dim_1967,CC,1967
euc_elem_1031,euclidean,dim_1031,CC,1031
cos_elem_1324,cosine,dim_1324,CC,1324
cos_elem_450,cosine,dim_450,CC,450
cos_elem_738,cosine,dim_738,CC,738
cos_elem_1863,cosine,dim_1863,CC,1863
cos_elem_2366,cosine,dim_2366,CC,2366
cos_elem_862,cosine,dim_862,CC,862
euc_elem_2991,euclidean,dim_2991,CC,2991
euc_elem_394,euclidean,dim_394,CC,394
euc_elem_655,euclidean,dim_655,CC,655
euc_elem_1550,euclidean,dim_1550,CC,1550
euc_elem_430,euclidean,dim_430,CC,430
cos_elem_838,cosine,dim_838,CC,838
euc_elem_2353,euclidean,dim_2353,CC,2353
cos_elem_55,cosine,dim_55,CC,55
euc_elem_77,euclidean,dim_77,CC,77
cos_elem_2419,cosine,dim_2419,CC,2419
cos_elem_698,cosine,dim_698,CC,698
euc_elem_2913,euclidean,dim_2913,CC,2913
cos_elem_827,cosine,dim_827,CC,827
