elementwise_feature,metric,base_feature,space,dimension
cos_elem_2219,cosine,dim_2219,CC,2219
cos_elem_1816,cosine,dim_1816,CC,1816
euc_elem_635,euclidean,dim_635,CC,635
euc_elem_1633,euclidean,dim_1633,CC,1633
cos_elem_635,cosine,dim_635,CC,635
cos_elem_1926,cosine,dim_1926,CC,1926
euc_elem_1183,euclidean,dim_1183,CC,1183
euc_elem_94,euclidean,dim_94,CC,94
euc_elem_722,euclidean,dim_722,CC,722
cos_elem_430,cosine,dim_430,CC,430
euc_elem_430,euclidean,dim_430,CC,430
euc_elem_2930,euclidean,dim_2930,CC,2930
euc_elem_2717,euclidean,dim_2717,CC,2717
euc_elem_2860,euclidean,dim_2860,CC,2860
euc_elem_2219,euclidean,dim_2219,CC,2219
cos_elem_814,cosine,dim_814,CC,814
cos_elem_2450,cosine,dim_2450,CC,2450
cos_elem_2840,cosine,dim_2840,CC,2840
cos_elem_202,cosine,dim_202,CC,202
euc_elem_3172,euclidean,dim_3172,CC,3172
euc_elem_799,euclidean,dim_799,CC,799
cos_elem_881,cosine,dim_881,CC,881
cos_elem_2292,cosine,dim_2292,CC,2292
euc_elem_1567,euclidean,dim_1567,CC,1567
euc_elem_2869,euclidean,dim_2869,CC,2869
cos_elem_3106,cosine,dim_3106,CC,3106
cos_elem_963,cosine,dim_963,CC,963
euc_elem_652,euclidean,dim_652,CC,652
euc_elem_654,euclidean,dim_654,CC,654
cos_elem_1372,cosine,dim_1372,CC,1372
cos_elem_2278,cosine,dim_2278,CC,2278
cos_elem_307,cosine,dim_307,CC,307
cos_elem_2903,cosine,dim_2903,CC,2903
cos_elem_2424,cosine,dim_2424,CC,2424
cos_elem_812,cosine,dim_812,CC,812
euc_elem_2144,euclidean,dim_2144,CC,2144
euc_elem_1926,euclidean,dim_1926,CC,1926
euc_elem_1754,euclidean,dim_1754,CC,1754
euc_elem_3147,euclidean,dim_3147,CC,3147
euc_elem_3141,euclidean,dim_3141,CC,3141
cos_elem_1183,cosine,dim_1183,CC,1183
cos_elem_2930,cosine,dim_2930,CC,2930
euc_elem_1060,euclidean,dim_1060,CC,1060
euc_elem_2790,euclidean,dim_2790,CC,2790
euc_elem_1560,euclidean,dim_1560,CC,1560
cos_elem_2434,cosine,dim_2434,CC,2434
euc_elem_2286,euclidean,dim_2286,CC,2286
cos_elem_392,cosine,dim_392,CC,392
cos_elem_2795,cosine,dim_2795,CC,2795
cos_elem_418,cosine,dim_418,CC,418
cos_elem_1996,cosine,dim_1996,CC,1996
cos_elem_2489,cosine,dim_2489,CC,2489
cos_elem_1752,cosine,dim_1752,CC,1752
euc_elem_1998,euclidean,dim_1998,CC,1998
euc_elem_1495,euclidean,dim_1495,CC,1495
cos_elem_2602,cosine,dim_2602,CC,2602
euc_elem_2935,euclidean,dim_2935,CC,2935
euc_elem_2923,euclidean,dim_2923,CC,2923
euc_elem_1269,euclidean,dim_1269,CC,1269
cos_elem_1920,cosine,dim_1920,CC,1920
cos_elem_2229,cosine,dim_2229,CC,2229
euc_elem_1550,euclidean,dim_1550,CC,1550
cos_elem_1387,cosine,dim_1387,CC,1387
euc_elem_2229,euclidean,dim_2229,CC,2229
euc_elem_1802,euclidean,dim_1802,CC,1802
cos_elem_577,cosine,dim_577,CC,577
cos_elem_2882,cosine,dim_2882,CC,2882
euc_elem_3097,euclidean,dim_3097,CC,3097
cos_elem_2473,cosine,dim_2473,CC,2473
cos_elem_446,cosine,dim_446,CC,446
euc_elem_254,euclidean,dim_254,CC,254
cos_elem_2340,cosine,dim_2340,CC,2340
euc_elem_2395,euclidean,dim_2395,CC,2395
cos_elem_892,cosine,dim_892,CC,892
euc_elem_2627,euclidean,dim_2627,CC,2627
euc_elem_2602,euclidean,dim_2602,CC,2602
euc_elem_307,euclidean,dim_307,CC,307
cos_elem_1064,cosine,dim_1064,CC,1064
euc_elem_2612,euclidean,dim_2612,CC,2612
euc_elem_2538,euclidean,dim_2538,CC,2538
euc_elem_356,euclidean,dim_356,CC,356
euc_elem_2287,euclidean,dim_2287,CC,2287
euc_elem_1401,euclidean,dim_1401,CC,1401
euc_elem_1831,euclidean,dim_1831,CC,1831
cos_elem_1401,cosine,dim_1401,CC,1401
euc_elem_1314,euclidean,dim_1314,CC,1314
cos_elem_302,cosine,dim_302,CC,302
cos_elem_2511,cosine,dim_2511,CC,2511
cos_elem_2209,cosine,dim_2209,CC,2209
euc_elem_2489,euclidean,dim_2489,CC,2489
euc_elem_2795,euclidean,dim_2795,CC,2795
cos_elem_2892,cosine,dim_2892,CC,2892
cos_elem_476,cosine,dim_476,CC,476
euc_elem_476,euclidean,dim_476,CC,476
cos_elem_472,cosine,dim_472,CC,472
euc_elem_19,euclidean,dim_19,CC,19
cos_elem_3001,cosine,dim_3001,CC,3001
euc_elem_2246,euclidean,dim_2246,CC,2246
euc_elem_2843,euclidean,dim_2843,CC,2843
euc_elem_2209,euclidean,dim_2209,CC,2209
euc_elem_1064,euclidean,dim_1064,CC,1064
euc_elem_2214,euclidean,dim_2214,CC,2214
cos_elem_2956,cosine,dim_2956,CC,2956
cos_elem_444,cosine,dim_444,CC,444
cos_elem_2019,cosine,dim_2019,CC,2019
cos_elem_534,cosine,dim_534,CC,534
euc_elem_1372,euclidean,dim_1372,CC,1372
euc_elem_394,euclidean,dim_394,CC,394
cos_elem_789,cosine,dim_789,CC,789
euc_elem_1152,euclidean,dim_1152,CC,1152
cos_elem_2843,cosine,dim_2843,CC,2843
euc_elem_418,euclidean,dim_418,CC,418
euc_elem_140,euclidean,dim_140,CC,140
cos_elem_2287,cosine,dim_2287,CC,2287
euc_elem_2523,euclidean,dim_2523,CC,2523
euc_elem_2353,euclidean,dim_2353,CC,2353
cos_elem_2627,cosine,dim_2627,CC,2627
euc_elem_789,euclidean,dim_789,CC,789
euc_elem_133,euclidean,dim_133,CC,133
cos_elem_2069,cosine,dim_2069,CC,2069
euc_elem_1554,euclidean,dim_1554,CC,1554
cos_elem_109,cosine,dim_109,CC,109
cos_elem_2923,cosine,dim_2923,CC,2923
cos_elem_624,cosine,dim_624,CC,624
euc_elem_679,euclidean,dim_679,CC,679
cos_elem_2419,cosine,dim_2419,CC,2419
cos_elem_925,cosine,dim_925,CC,925
