metric,mean,std
roc_auc,0.8167413429447604,0.016799652367760716
accuracy,0.7341067935074104,0.01539201297054539
f1_weighted,0.7342630523898007,0.015009949748591303
f1_macro,0.7334430522858973,0.015503257256845815
precision_antag,0.728456525560232,0.03752366069102815
recall_antag,0.7490990916953213,0.0290346251895823
f1_antag,0.7379672671795039,0.026072652075119645
precision_syn,0.7396197322533519,0.03095569176408449
recall_syn,0.7197590305246729,0.014627692507409678
f1_syn,0.7289188373922909,0.010837675157145519
